,population,household_income,state,county
0,57917.0,16555.0,48,001
1,87119.0,31368.0,48,005
2,24220.0,9917.0,48,007
3,1950.0,720.0,48,011
4,50194.0,15798.0,48,013
5,6916.0,2056.0,48,017
6,22770.0,8697.0,48,019
7,3560.0,1621.0,48,023
8,32609.0,8499.0,48,025
9,1978826.0,644561.0,48,029
10,11733.0,4665.0,48,031
11,18428.0,7255.0,48,035
12,368062.0,124184.0,48,039
13,226370.0,81514.0,48,041
14,1348.0,588.0,48,045
15,7100.0,2475.0,48,047
16,18237.0,6931.0,48,051
17,47548.0,17384.0,48,053
18,21470.0,8027.0,48,057
19,13959.0,5372.0,48,059
20,12938.0,4460.0,48,063
21,5957.0,2332.0,48,065
22,7561.0,2557.0,48,069
23,42571.0,14266.0,48,071
24,7219.0,2308.0,48,075
25,10444.0,4159.0,48,077
26,3298.0,1625.0,48,081
27,8281.0,3492.0,48,083
28,2939.0,1029.0,48,087
29,21357.0,7442.0,48,089
30,148921.0,54586.0,48,091
31,13597.0,5416.0,48,093
32,3018.0,876.0,48,095
33,40428.0,15530.0,48,097
34,75576.0,22324.0,48,099
35,1624.0,703.0,48,101
36,4739.0,1500.0,48,103
37,3393.0,1394.0,48,105
38,5753.0,2107.0,48,107
39,2183.0,668.0,48,109
40,7272.0,2344.0,48,111
41,2622634.0,945996.0,48,113
42,12849.0,4430.0,48,115
43,18617.0,6053.0,48,117
44,5277.0,2066.0,48,119
45,861690.0,300585.0,48,121
46,20217.0,6823.0,48,123
47,2182.0,861.0,48,125
48,10232.0,3178.0,48,127
49,3317.0,1344.0,48,129
50,11194.0,3407.0,48,131
51,162067.0,53602.0,48,135
52,1944.0,787.0,48,137
53,836915.0,273662.0,48,141
54,42226.0,14263.0,48,143
55,35046.0,12391.0,48,147
56,25247.0,9033.0,48,149
57,5782.0,2184.0,48,153
58,1207.0,509.0,48,155
59,10767.0,3960.0,48,159
60,19744.0,6736.0,48,161
61,21077.0,5878.0,48,165
62,6028.0,1713.0,48,169
63,26668.0,10820.0,48,171
64,7578.0,2840.0,48,175
65,20828.0,7465.0,48,177
66,133527.0,49327.0,48,181
67,123633.0,46174.0,48,183
68,163030.0,55710.0,48,187
69,33463.0,10888.0,48,189
70,8434.0,3007.0,48,193
71,5431.0,1859.0,48,195
72,57356.0,21188.0,48,199
73,4680609.0,1635749.0,48,201
74,5588.0,1691.0,48,205
75,5711.0,2162.0,48,207
76,3901.0,1356.0,48,211
77,81969.0,31649.0,48,213
78,36109.0,13094.0,48,217
79,22986.0,8071.0,48,219
80,36708.0,13514.0,48,223
81,22942.0,8234.0,48,225
82,4687.0,1127.0,48,229
83,96202.0,33596.0,48,231
84,1553.0,636.0,48,235
85,8888.0,3169.0,48,237
86,35562.0,13725.0,48,241
87,2245.0,991.0,48,243
88,5187.0,1545.0,48,247
89,40796.0,12924.0,48,249
90,19874.0,5646.0,48,253
91,15547.0,4552.0,48,255
92,129792.0,39237.0,48,257
93,45491.0,14789.0,48,259
94,391.0,129.0,48,261
95,704.0,286.0,48,263
96,52195.0,21278.0,48,265
97,4375.0,1967.0,48,267
98,279.0,90.0,48,269
99,3674.0,1475.0,48,271
100,30725.0,11140.0,48,273
101,3679.0,1394.0,48,275
102,49705.0,19995.0,48,277
103,13018.0,4706.0,48,279
104,21152.0,7823.0,48,281
105,7551.0,2142.0,48,283
106,17174.0,6159.0,48,287
107,17325.0,6837.0,48,289
108,86173.0,27417.0,48,291
109,23364.0,8292.0,48,293
110,3301.0,1158.0,48,295
111,12175.0,3854.0,48,297
112,21452.0,9031.0,48,299
113,308392.0,116535.0,48,303
114,7970.0,3151.0,48,307
115,254045.0,91422.0,48,309
116,14329.0,4205.0,48,313
117,9987.0,4535.0,48,315
118,4248.0,1668.0,48,319
119,36791.0,13900.0,48,321
120,50869.0,15978.0,48,325
121,2108.0,1035.0,48,327
122,24797.0,9468.0,48,331
123,4877.0,1752.0,48,333
124,19640.0,7969.0,48,337
125,590188.0,205719.0,48,339
126,12357.0,5170.0,48,343
127,1362.0,496.0,48,345
128,49475.0,17509.0,48,349
129,13788.0,5124.0,48,351
130,362151.0,130482.0,48,355
131,9907.0,3391.0,48,357
132,83776.0,31570.0,48,361
133,28792.0,10334.0,48,363
134,138447.0,45848.0,48,367
135,9639.0,3213.0,48,369
136,50155.0,17945.0,48,373
137,118323.0,43957.0,48,375
138,12001.0,4321.0,48,379
139,136005.0,50092.0,48,381
140,3429.0,1254.0,48,385
141,12115.0,5143.0,48,387
142,7015.0,2566.0,48,391
143,784.0,329.0,48,393
144,101175.0,34457.0,48,397
145,10280.0,3891.0,48,399
146,10470.0,4524.0,48,403
147,8260.0,3712.0,48,405
148,66969.0,23422.0,48,409
149,6004.0,2134.0,48,411
150,16918.0,6115.0,48,415
151,3291.0,1367.0,48,417
152,3046.0,1070.0,48,421
153,230184.0,77809.0,48,423
154,20072.0,7904.0,48,285
155,8958.0,3145.0,48,425
156,64032.0,16281.0,48,427
157,9358.0,3408.0,48,429
158,1274.0,405.0,48,431
159,1412.0,529.0,48,433
160,3793.0,1282.0,48,435
161,7403.0,2599.0,48,437
162,2077153.0,722446.0,48,439
163,137521.0,50396.0,48,441
164,903.0,419.0,48,443
165,12408.0,4101.0,48,445
166,1500.0,713.0,48,447
167,32709.0,11064.0,48,449
168,118645.0,42953.0,48,451
169,1250884.0,491531.0,48,453
170,14689.0,6105.0,48,455
171,21524.0,7109.0,48,457
172,41386.0,14392.0,48,459
173,3651.0,1344.0,48,461
174,26899.0,8921.0,48,463
175,55970.0,20494.0,48,467
176,92044.0,32520.0,48,469
177,53626.0,15586.0,48,473
178,11745.0,4100.0,48,475
179,274847.0,76382.0,48,479
180,41672.0,15248.0,48,481
181,132154.0,48538.0,48,485
182,12717.0,5008.0,48,487
183,570437.0,188113.0,48,491
184,50110.0,15975.0,48,493
185,67884.0,22254.0,48,497
186,45054.0,16716.0,48,499
187,17961.0,7491.0,48,503
188,14243.0,4689.0,48,505
189,18227.0,5649.0,48,003
190,8754.0,3513.0,48,009
191,29892.0,11569.0,48,015
192,86839.0,26173.0,48,021
193,355700.0,125747.0,48,027
194,653.0,223.0,48,033
195,93622.0,34283.0,48,037
196,9231.0,4292.0,48,043
197,37805.0,14614.0,48,049
198,42817.0,13774.0,48,055
199,422135.0,126968.0,48,061
200,30002.0,11962.0,48,067
201,52341.0,18540.0,48,073
202,2860.0,1026.0,48,079
203,1006038.0,353491.0,48,085
204,18289.0,7017.0,48,133
205,179484.0,59399.0,48,139
206,17281.0,5552.0,48,145
207,3827.0,1676.0,48,151
208,790892.0,248299.0,48,157
209,20013.0,4673.0,48,163
210,337600.0,125204.0,48,167
211,1447.0,435.0,48,173
212,22063.0,7843.0,48,179
213,28447.0,9206.0,48,185
214,3025.0,1252.0,48,191
215,3958.0,1672.0,48,197
216,66547.0,23841.0,48,203
217,222827.0,76724.0,48,209
218,861137.0,243878.0,48,215
219,60025.0,23215.0,48,221
220,36213.0,11354.0,48,227
221,21105.0,7074.0,48,233
222,14822.0,4924.0,48,239
223,253136.0,94012.0,48,245
224,171359.0,58270.0,48,251
225,117.0,62.0,48,301
226,5886.0,2199.0,48,305
227,724.0,229.0,48,311
228,5676.0,1722.0,48,317
229,58098.0,16647.0,48,323
230,171238.0,57917.0,48,329
231,8256.0,2419.0,48,335
232,21169.0,6659.0,48,341
233,65080.0,23765.0,48,347
234,14901.0,5516.0,48,353
235,2110.0,646.0,48,359
236,23186.0,8662.0,48,365
237,15725.0,4868.0,48,371
238,6808.0,2580.0,48,377
239,3766.0,1117.0,48,383
240,15546.0,3772.0,48,389
241,17094.0,6749.0,48,395
242,53988.0,18056.0,48,401
243,28574.0,10143.0,48,407
244,2898.0,1036.0,48,413
245,25263.0,9486.0,48,419
246,49018.0,16388.0,48,465
247,72295.0,22515.0,48,471
248,35275.0,13321.0,48,477
249,5187.0,2060.0,48,483
250,21419.0,5882.0,48,489
251,7822.0,2618.0,48,495
252,8612.0,2601.0,48,501
253,11930.0,3674.0,48,507
