,Unnamed: 0,population,household_income,state,county
0,0,55639.0,21559.0,,Autauga County
1,1,218289.0,84047.0,,Baldwin County
2,2,25026.0,9322.0,,Barbour County
3,3,22374.0,7259.0,,Bibb County
4,4,57755.0,21205.0,,Blount County
5,5,10173.0,3429.0,,Bullock County
6,6,19726.0,6649.0,,Butler County
7,7,114324.0,44572.0,,Calhoun County
8,8,13345.0,5226.0,,Lewis County
9,9,24493.0,9677.0,,Lincoln County
10,10,9172.0,3803.0,,Livingston County
11,11,27049.0,10459.0,,Logan County
12,12,8226.0,3266.0,,Lyon County
13,13,65485.0,27787.0,,McCracken County
14,14,17333.0,6187.0,,McCreary County
15,15,92090.0,33876.0,,Madison County
16,16,19257.0,7433.0,,Marion County
17,17,31225.0,13119.0,,Marshall County
18,18,17122.0,6523.0,,Mason County
19,19,28379.0,10690.0,,Meade County
20,20,21690.0,8718.0,,Mercer County
21,21,10062.0,4187.0,,Metcalfe County
22,22,28042.0,10653.0,,Montgomery County
23,23,13270.0,4796.0,,Morgan County
24,24,45915.0,17991.0,,Nelson County
25,25,7189.0,2714.0,,Nicholas County
26,26,66508.0,21259.0,,Oldham County
27,27,10847.0,4246.0,,Owen County
28,28,14587.0,5250.0,,Pendleton County
29,29,58595.0,25506.0,,Pike County
30,30,12283.0,4698.0,,Powell County
31,31,2139.0,859.0,,Robertson County
32,32,16795.0,6609.0,,Rockcastle County
33,33,17846.0,7122.0,,Russell County
34,34,55961.0,21186.0,,Scott County
35,35,18319.0,7181.0,,Simpson County
36,36,18945.0,6899.0,,Spencer County
37,37,12334.0,4655.0,,Todd County
38,38,8528.0,3398.0,,Trimble County
39,39,14582.0,5176.0,,Union County
40,40,12044.0,4702.0,,Washington County
41,41,20447.0,8298.0,,Wayne County
42,42,36252.0,12685.0,,Whitley County
43,43,7188.0,2991.0,,Wolfe County
44,44,107958.0,45906.0,,Androscoggin County
45,45,67431.0,29594.0,,Aroostook County
46,46,29933.0,12426.0,,Franklin County
47,47,54832.0,24116.0,,Hancock County
48,48,39809.0,17497.0,,Knox County
49,49,34415.0,15665.0,,Lincoln County
50,50,151696.0,63073.0,,Penobscot County
51,51,16864.0,7180.0,,Piscataquis County
52,52,50573.0,21645.0,,Somerset County
53,53,31378.0,13830.0,,Washington County
54,54,206074.0,86919.0,,York County
55,55,353775.0,129308.0,,Anoka County
56,56,34227.0,13942.0,,Becker County
57,57,46784.0,17882.0,,Beltrami County
58,58,40476.0,16482.0,,Benton County
59,59,4974.0,2294.0,,Big Stone County
60,60,67368.0,26390.0,,Blue Earth County
61,61,25076.0,10643.0,,Brown County
62,62,35709.0,13811.0,,Carlton County
63,63,103561.0,37386.0,,Carver County
64,64,29462.0,13249.0,,Cass County
65,65,11876.0,5133.0,,Chippewa County
66,66,55844.0,20370.0,,Chisago County
67,67,12237.0,5079.0,,Meigs County
68,68,204992.0,74606.0,,Montgomery County
69,69,6396.0,2599.0,,Moore County
70,70,30343.0,12633.0,,Obion County
71,71,22171.0,8969.0,,Overton County
72,72,5068.0,2211.0,,Pickett County
73,73,16807.0,7448.0,,Polk County
74,74,32964.0,12324.0,,Rhea County
75,75,53331.0,21596.0,,Roane County
76,76,324139.0,115249.0,,Rutherford County
77,77,22020.0,8625.0,,Scott County
78,78,14936.0,5539.0,,Sequatchie County
79,79,936611.0,356607.0,,Shelby County
80,80,19926.0,7688.0,,Smith County
81,81,157707.0,66645.0,,Sullivan County
82,82,187680.0,68654.0,,Sumner County
83,83,10910.0,3398.0,,Trousdale County
84,84,17821.0,7683.0,,Unicoi County
85,85,5813.0,2242.0,,Van Buren County
86,86,40971.0,15515.0,,Warren County
87,87,16638.0,5737.0,,Wayne County
88,88,33377.0,13563.0,,Weakley County
89,89,232380.0,81041.0,,Williamson County
90,90,140604.0,51348.0,,Wilson County
91,91,54953.0,17811.0,,Box Elder County
92,92,126336.0,39581.0,,Cache County
93,93,590.0,169.0,,Daggett County
94,94,350761.0,107104.0,,Davis County
95,95,10099.0,3732.0,,Emery County
96,96,5000.0,1851.0,,Garfield County
97,97,9698.0,4442.0,,Grand County
98,98,53148.0,17381.0,,Iron County
99,99,11623.0,3478.0,,Juab County
100,100,7658.0,2847.0,,Kane County
101,101,12963.0,4293.0,,Millard County
102,102,11950.0,3434.0,,Morgan County
103,103,1870.0,590.0,,Piute County
104,104,2415.0,641.0,,Rich County
105,105,1146215.0,383324.0,,Salt Lake County
106,106,15295.0,4577.0,,San Juan County
107,107,30421.0,8887.0,,Sanpete County
108,108,21475.0,7487.0,,Sevier County
109,109,41680.0,14474.0,,Summit County
110,110,69740.0,21147.0,,Tooele County
111,111,35736.0,10739.0,,Uintah County
112,112,621506.0,171899.0,,Utah County
113,113,33053.0,10505.0,,Wasatch County
114,114,172127.0,59699.0,,Washington County
115,115,2698.0,995.0,,Wayne County
116,116,255284.0,85205.0,,Weber County
117,117,35649.0,14585.0,,Bennington County
118,118,30027.0,12618.0,,Caledonia County
119,119,6179.0,2882.0,,Essex County
120,120,49275.0,19045.0,,Franklin County
121,121,25376.0,10770.0,,Lamoille County
122,122,28873.0,12670.0,,Orange County
123,123,58527.0,25349.0,,Rutland County
124,124,58336.0,25310.0,,Washington County
125,125,55191.0,24629.0,,Windsor County
126,126,32560.0,13641.0,,Accomack County
127,127,10903.0,4371.0,,Watonwan County
128,128,104687.0,40397.0,,Cass County
129,129,87324.0,32487.0,,Christian County
130,130,20503.0,8100.0,,Clinton County
131,131,23984.0,9798.0,,Crawford County
132,132,8294.0,3002.0,,Daviess County
133,133,13335.0,5317.0,,Douglas County
134,134,14673.0,6154.0,,Gasconade County
135,135,9885.0,3900.0,,Grundy County
136,136,9452.0,4012.0,,Hickory County
137,137,40130.0,15557.0,,Howell County
138,138,120528.0,46461.0,,Jasper County
139,139,53948.0,19931.0,,Johnson County
140,140,32697.0,12711.0,,Lafayette County
141,141,57590.0,19818.0,,Lincoln County
142,142,22882.0,8393.0,,McDonald County
143,143,8791.0,3808.0,,Maries County
144,144,25369.0,10452.0,,Miller County
145,145,8630.0,3731.0,,Monroe County
146,146,17275.0,7281.0,,New Madrid County
147,147,10561.0,4298.0,,Oregon County
148,148,16330.0,6640.0,,Pemiscot County
149,149,8207.0,3063.0,,Shannon County
150,150,31875.0,12689.0,,Stone County
151,151,25518.0,9852.0,,Texas County
152,152,24819.0,9278.0,,Washington County
153,153,2001.0,808.0,,Worth County
154,154,304709.0,143566.0,,St. Louis city
155,155,180076.0,73536.0,,Bay County
156,156,1942273.0,704942.0,,Broward County
157,157,147938.0,64621.0,,Citrus County
158,158,70898.0,25205.0,,Columbia County
159,159,948651.0,369704.0,,Duval County
160,160,11914.0,4691.0,,Franklin County
161,161,13777.0,4859.0,,Glades County
162,162,27027.0,7991.0,,Hardee County
163,163,104574.0,42721.0,,Highlands County
164,164,156964.0,60959.0,,Indian River County
165,165,8576.0,2315.0,,Lafayette County
166,166,291863.0,116530.0,,Leon County
167,167,8333.0,2513.0,,Liberty County
168,168,360210.0,145863.0,,Marion County
169,169,75137.0,32794.0,,Monroe County
170,170,41611.0,14601.0,,Okeechobee County
171,171,439.0,192.0,,Arthur County
172,172,5228.0,2261.0,,Boone County
173,173,2887.0,1333.0,,Brown County
174,174,7997.0,3387.0,,Butler County
175,175,13681.0,5748.0,,Wadena County
176,176,3707.0,1591.0,,Chase County
177,177,6193.0,2575.0,,Clay County
178,178,8882.0,3854.0,,Cuming County
179,179,8685.0,3555.0,,Dawes County
180,180,5682.0,2376.0,,Dixon County
181,181,1928.0,842.0,,Dundy County
182,182,2636.0,1136.0,,Frontier County
183,183,1916.0,929.0,,Garden County
184,184,691.0,297.0,,Grant County
185,185,9219.0,3622.0,,Hamilton County
186,186,26035.0,10836.0,,Cherokee County
187,187,44147.0,17140.0,,Chilton County
188,188,12755.0,5330.0,,Choctaw County
189,189,23866.0,9323.0,,Clarke County
190,190,13285.0,5153.0,,Clay County
191,191,14952.0,5835.0,,Cleburne County
192,192,52238.0,19951.0,,Coffee County
193,193,54957.0,21797.0,,Colbert County
194,194,12219.0,4585.0,,Conecuh County
195,195,10696.0,4016.0,,Coosa County
196,196,13826.0,5011.0,,Crenshaw County
197,197,83345.0,31733.0,,Cullman County
198,198,38184.0,15409.0,,Dallas County
199,199,71430.0,26365.0,,DeKalb County
200,200,36775.0,12931.0,,Escambia County
