State,Zip,Year,Month,Electricity Price,Gas Price,Zip Codes,,,,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
NY,,2019,Jan,0.202,2.507,10001,,,,,,,,,,,2.507,2.477,2.628,2.839,2.997,2.912,2.902,2.844,2.706,2.676,2.675,2.674
,,2019,Feb,0.196,2.477,10002,,,,,,,,,,,2.705,2.617,2.483,2.261,2.151,2.205,2.258,2.245,2.261,2.248,2.209,2.285
,,2019,Mar,0.201,2.628,10003,,,,,,,,,,,2.446,2.612,2.87,2.911,3.038,3.202,3.286,3.314,3.349,3.488,3.625,3.581
,,2019,Apr,0.197,2.839,10004,,,,,,,,,,,3.537,3.719,4.388,4.29,4.828,5.131,4.8,4.323,3.832,3.732,3.97,3.6
,,2019,May,0.194,2.997,10005,,,,,,,,,,,3.569,3.576, , , , , , , , , , 
,,2019,Jun,0.211,2.912,10006,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jul,0.207,2.902,10007,,,,,,,,,,,,,,,,,,,,,,
,,2019,Aug,0.202,2.844,10009,,,,,,,,,,,,,,,,,,,,,,
,,2019,Sep,0.205,2.706,10010,,,,,,,,,,,,,,,,,,,,,,
,,2019,Oct,0.194,2.676,10011,,,,,,,,,,,,,,,,,,,,,,
,,2019,Nov,0.197,2.675,10012,,,,,,,,,,,,,,,,,,,,,,
,,2019,Dec,0.193,2.674,10013,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jan,0.199,2.705,10014,,,,,,,,,,,,,,,,,,,,,,
,,2020,Feb,0.201,2.617,10016,,,,,,,,,,,,,,,,,,,,,,
,,2020,Mar,0.198,2.483,10017,,,,,,,,,,,,,,,,,,,,,,
,,2020,Apr,0.195,2.261,10018,,,,,,,,,,,,,,,,,,,,,,
,,2020,May,0.199,2.151,10019,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jun,0.223,2.205,10020,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jul,0.218,2.258,10021,,,,,,,,,,,,,,,,,,,,,,
,,2020,Aug,0.209,2.245,10022,,,,,,,,,,,,,,,,,,,,,,
,,2020,Sep,0.211,2.261,10023,,,,,,,,,,,,,,,,,,,,,,
,,2020,Oct,0.202,2.248,10024,,,,,,,,,,,,,,,,,,,,,,
,,2020,Nov,0.201,2.209,10025,,,,,,,,,,,,,,,,,,,,,,
,,2020,Dec,0.211,2.285,10026,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jan,0.213,2.446,10027,,,,,,,,,,,,,,,,,,,,,,
,,2021,Feb,0.219,2.612,10028,,,,,,,,,,,,,,,,,,,,,,
,,2021,Mar,0.188,2.87,10029,,,,,,,,,,,,,,,,,,,,,,
,,2021,Apr,0.208,2.911,10030,,,,,,,,,,,,,,,,,,,,,,
,,2021,May,0.214,3.038,10031,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jun,0.222,3.202,10032,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jul,0.216,3.286,10033,,,,,,,,,,,,,,,,,,,,,,
,,2021,Aug,0.226,3.314,10034,,,,,,,,,,,,,,,,,,,,,,
,,2021,Sep,0.222,3.349,10035,,,,,,,,,,,,,,,,,,,,,,
,,2021,Oct,0.214,3.488,10036,,,,,,,,,,,,,,,,,,,,,,
,,2021,Nov,0.207,3.625,10037,,,,,,,,,,,,,,,,,,,,,,
,,2021,Dec,0.2,3.581,10038,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jan,0.256,3.537,10039,,,,,,,,,,,,,,,,,,,,,,
,,2022,Feb,0.196,3.719,10040,,,,,,,,,,,,,,,,,,,,,,
,,2022,Mar,0.225,4.388,10044,,,,,,,,,,,,,,,,,,,,,,
,,2022,Apr,0.235,4.29,10128,,,,,,,,,,,,,,,,,,,,,,
,,2022,May,0.241,4.828,10280,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jun,0.248,5.131,10301,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jul,0.232,4.8,10302,,,,,,,,,,,,,,,,,,,,,,
,,2022,Aug,0.249,4.323,10303,,,,,,,,,,,,,,,,,,,,,,
,,2022,Sep,0.245,3.832,10304,,,,,,,,,,,,,,,,,,,,,,
,,2022,Oct,0.235,3.732,10305,,,,,,,,,,,,,,,,,,,,,,
,,2022,Nov,0.232,3.97,10306,,,,,,,,,,,,,,,,,,,,,,
,,2022,Dec,0.231,3.6,10307,,,,,,,,,,,,,,,,,,,,,,
,,2023,Jan,0.243,3.569,10308,,,,,,,,,,,,,,,,,,,,,,
,,2023,Feb,0.237,3.576,10309,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10310,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10311,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10312,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10314,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10451,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10452,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10453,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10454,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10455,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10456,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10457,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10458,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10459,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10460,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10461,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10462,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10463,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10464,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10465,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10466,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10467,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10468,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10469,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10470,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10471,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10472,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10473,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10474,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10475,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11004,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11005,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11040,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11101,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11102,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11103,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11104,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11105,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11106,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11109,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11201,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11203,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11204,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11205,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11206,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11207,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11208,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11209,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11210,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11211,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11212,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11213,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11214,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11215,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11216,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11217,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11218,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11219,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11220,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11221,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11222,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11223,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11224,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11225,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11226,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11228,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11229,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11230,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11231,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11232,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11233,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11234,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11235,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11236,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11237,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11238,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11239,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11354,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11355,,,,,,,,,,,,,,,,,,,,,,
