State,Zip,Year,Month,Electricity Price,Gas Price,DFW_ZIPs,,,,,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
TX,,2019,Jan,0.141,1.892,75001,,,,,,,,,,,,1.892,2.031,2.332,2.602,2.604,2.399,2.549,2.335,2.348,2.249,2.286,2.214
,,2019,Feb,0.141,2.031,75002,,,,,,,,,,,,2.235,2.054,1.919,1.417,1.406,1.722,1.903,1.869,1.893,1.833,1.766,1.885
,,2019,Mar,0.142,2.332,75006,,,,,,,,,,,,2.065,2.196,2.533,2.485,2.737,2.836,2.882,2.894,2.91,3.033,3.137,3.015
,,2019,Apr,0.142,2.602,75007,,,,,,,,,,,,3.058,3.288,3.901,3.816,4.271,4.748,4.119,3.511,3.231,3.268,3.084,2.782
,,2019,May,0.142,2.604,75009,,,,,,,,,,,,3.025,3.055, , , , , , , , , , 
,,2019,Jun,0.142,2.399,75010,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jul,0.142,2.549,75011,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Aug,0.142,2.335,75013,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Sep,0.143,2.348,75015,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Oct,0.143,2.249,75016,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Nov,0.142,2.286,75019,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Dec,0.142,2.214,75020,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jan,0.141,2.235,75021,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Feb,0.137,2.054,75022,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Mar,0.134,1.919,75023,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Apr,0.134,1.417,75024,,,,,,,,,,,,,,,,,,,,,,,
,,2020,May,0.136,1.406,75025,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jun,0.136,1.722,75026,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jul,0.135,1.903,75028,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Aug,0.133,1.869,75030,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Sep,0.132,1.893,75032,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Oct,0.132,1.833,75034,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Nov,0.13,1.766,75035,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Dec,0.13,1.885,75038,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jan,0.131,2.065,75039,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Feb,0.131,2.196,75040,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Mar,0.128,2.533,75041,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Apr,0.127,2.485,75042,,,,,,,,,,,,,,,,,,,,,,,
,,2021,May,0.128,2.737,75043,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jun,0.129,2.836,75044,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jul,0.133,2.882,75046,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Aug,0.144,2.894,75048,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Sep,0.152,2.91,75050,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Oct,0.153,3.033,75051,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Nov,0.153,3.137,75052,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Dec,0.154,3.015,75053,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jan,0.161,3.058,75056,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Feb,0.162,3.288,75057,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Mar,0.162,3.901,75058,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Apr,0.162,3.816,75060,,,,,,,,,,,,,,,,,,,,,,,
,,2022,May,0.164,4.271,75061,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jun,0.174,4.748,75062,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jul,0.196,4.119,75063,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Aug,0.196,3.511,75065,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Sep,0.199,3.231,75067,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Oct,0.199,3.268,75068,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Nov,0.183,3.084,75069,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Dec,0.183,2.782,75070,,,,,,,,,,,,,,,,,,,,,,,
,,2023,Jan,0.178,3.025,75071,,,,,,,,,,,,,,,,,,,,,,,
,,2023,Feb,0.178,3.055,75074,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75075,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75076,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75078,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75080,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75081,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75082,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75083,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75085,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75086,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75087,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75088,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75089,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75090,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75091,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75092,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75093,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75094,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75098,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75099,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75101,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75102,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75103,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75104,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75109,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75110,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75114,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75115,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75116,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75117,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75119,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75120,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75121,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75124,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75125,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75126,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75127,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75129,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75132,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75134,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75135,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75137,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75138,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75141,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75142,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75143,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75144,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75145,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75146,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75147,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75148,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75149,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75150,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75151,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75152,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75153,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75154,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75155,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75156,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75157,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75159,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75160,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75161,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75163,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75164,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75165,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75166,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75167,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75168,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75169,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75172,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75173,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75180,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75181,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75182,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75185,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75189,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75201,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75202,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75203,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75204,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75205,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75206,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75207,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75208,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75209,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75210,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75211,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75212,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75214,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75215,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75216,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75217,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75218,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75220,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75223,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75224,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75225,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75226,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75227,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75228,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75229,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75230,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75231,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75232,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75233,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75234,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75235,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75236,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75237,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75238,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75239,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75240,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75241,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75242,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75243,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75244,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75246,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75247,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75248,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75249,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75251,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75253,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75254,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75261,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75270,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75287,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75381,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75390,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75398,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75401,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75402,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75407,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75409,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75411,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75414,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75415,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75418,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75420,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75422,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75426,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75428,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75429,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75431,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75432,,,,,,,,,,,,,,,,,,,,,,,
