State,Zip,Year,Month,Electricity Price,Gas Price,Zip Codes,,,,,,,,,,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
CO,,2019,Jan,0.112,2.089,80002,,,,,,,,,,2019,0.112,0.113,0.113,0.11,0.11,0.121,0.121,0.121,0.127,0.116,0.114,0.114,
,,2019,Feb,0.113,2.003,80003,,,,,,,,,,2020,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,
,,2019,Mar,0.113,2.29,80004,,,,,,,,,,2021,0.137,0.137,0.137,0.141,0.141,0.141,0.14,0.14,0.141,0.141,0.141,0.141,
,,2019,Apr,0.11,2.618,80005,,,,,,,,,,2022,0.141,0.141,0.149,0.149,0.149,0.149,0.152,0.152,0.157,0.157,0.152,0.152,
,,2019,May,0.11,2.803,80007,,,,,,,,,,2023,0.153,0.153, , , , , , , , , , , 
,,2019,Jun,0.121,2.722,80010,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jul,0.121,2.595,80011,,,,,,,,,,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
,,2019,Aug,0.121,2.438,80012,,,,,,,,,,2019,2.089,2.003,2.29,2.618,2.803,2.722,2.595,2.438,2.533,2.672,2.732,2.709,
,,2019,Sep,0.127,2.533,80013,,,,,,,,,,2020,2.518,2.349,2.072,1.672,1.797,2.309,2.516,2.378,2.27,2.153,2.074,2.17,
,,2019,Oct,0.116,2.672,80014,,,,,,,,,,2021,2.3,2.39,2.807,2.908,3.01,3.353,3.614,3.728,3.675,3.602,3.556,3.411,
,,2019,Nov,0.114,2.732,80015,,,,,,,,,,2022,3.321,3.374,3.975,4.051,4.19,4.905,4.815,4.095,3.758,3.691,3.429,2.979,
,,2019,Dec,0.114,2.709,80016,,,,,,,,,,2023,3.479,4.123, , , , , , , , , , ,
,,2020,Jan,0.137,2.518,80017,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Feb,0.137,2.349,80018,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Mar,0.137,2.072,80019,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Apr,0.137,1.672,80020,,,,,,,,,,,,`,,,,,,,,,,,
,,2020,May,0.137,1.797,80021,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jun,0.137,2.309,80022,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jul,0.137,2.516,80023,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Aug,0.137,2.378,80024,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Sep,0.137,2.27,80030,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Oct,0.137,2.153,80031,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Nov,0.137,2.074,80033,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Dec,0.137,2.17,80102,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jan,0.137,2.3,80104,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Feb,0.137,2.39,80105,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Mar,0.137,2.807,80106,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Apr,0.141,2.908,80107,,,,,,,,,,,,,,,,,,,,,,,
,,2021,May,0.141,3.01,80108,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jun,0.141,3.353,80109,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jul,0.14,3.614,80110,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Aug,0.14,3.728,80111,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Sep,0.141,3.675,80112,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Oct,0.141,3.602,80113,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Nov,0.141,3.556,80116,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Dec,0.141,3.411,80117,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jan,0.141,3.321,80118,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Feb,0.141,3.374,80120,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Mar,0.149,3.975,80121,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Apr,0.149,4.051,80122,,,,,,,,,,,,,,,,,,,,,,,
,,2022,May,0.149,4.19,80123,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jun,0.149,4.905,80124,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jul,0.152,4.815,80125,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Aug,0.152,4.095,80126,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Sep,0.157,3.758,80127,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Oct,0.157,3.691,80128,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Nov,0.152,3.429,80129,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Dec,0.152,2.979,80130,,,,,,,,,,,,,,,,,,,,,,,
,,2023,Jan,0.153,3.479,80134,,,,,,,,,,,,,,,,,,,,,,,
,,2023,Feb,0.153,4.123,80135,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80136,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80137,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80138,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80202,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80203,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80204,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80205,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80206,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80207,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80209,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80210,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80211,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80212,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80214,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80215,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80216,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80218,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80220,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80221,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80222,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80223,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80224,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80226,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80227,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80228,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80229,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80230,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80231,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80232,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80233,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80234,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80235,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80236,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80237,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80238,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80239,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80241,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80246,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80247,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80249,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80260,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80264,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80290,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80293,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80294,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80301,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80302,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80303,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80304,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80305,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80310,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80401,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80403,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80419,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80421,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80422,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80425,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80433,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80439,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80453,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80454,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80457,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80465,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80466,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80470,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80601,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80602,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80603,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80614,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,80640,,,,,,,,,,,,,,,,,,,,,,,
