State,Zip,Year,Month,Electricity Price,Gas Price,HOU_Zips,,,,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
TX,,2019,Jan,0.135,1.935,77002,,,,,,,,,,,1.935,1.957,2.257,2.546,2.593,2.427,2.487,2.405,2.242,2.257,2.229,2.167
,,2019,Feb,0.13,1.957,77003,,,,,,,,,,,2.25,2.096,2.061,1.657,1.564,1.74,1.851,1.794,1.815,1.777,1.723,1.78
,,2019,Mar,0.128,2.257,77004,,,,,,,,,,,1.961,2.106,2.465,2.555,2.59,2.752,2.836,2.852,2.825,2.961,3.069,2.949
,,2019,Apr,0.126,2.546,77005,,,,,,,,,,,2.933,3.169,3.91,3.856,4.191,4.631,4.174,3.563,3.169,3.222,3.104,2.753
,,2019,May,0.127,2.593,77006,,,,,,,,,,,2.987,3.039, , , , , , , , , , 
,,2019,Jun,0.122,2.427,77007,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jul,0.118,2.487,77008,,,,,,,,,,,,,,,,,,,,,,
,,2019,Aug,0.124,2.405,77009,,,,,,,,,,,,,,,,,,,,,,
,,2019,Sep,0.127,2.242,77010,,,,,,,,,,,,,,,,,,,,,,
,,2019,Oct,0.129,2.257,77011,,,,,,,,,,,,,,,,,,,,,,
,,2019,Nov,0.127,2.229,77012,,,,,,,,,,,,,,,,,,,,,,
,,2019,Dec,0.127,2.167,77013,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jan,0.123,2.25,77014,,,,,,,,,,,,,,,,,,,,,,
,,2020,Feb,0.119,2.096,77015,,,,,,,,,,,,,,,,,,,,,,
,,2020,Mar,0.114,2.061,77016,,,,,,,,,,,,,,,,,,,,,,
,,2020,Apr,0.121,1.657,77017,,,,,,,,,,,,,,,,,,,,,,
,,2020,May,0.124,1.564,77018,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jun,0.123,1.74,77019,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jul,0.121,1.851,77020,,,,,,,,,,,,,,,,,,,,,,
,,2020,Aug,0.125,1.794,77021,,,,,,,,,,,,,,,,,,,,,,
,,2020,Sep,0.139,1.815,77022,,,,,,,,,,,,,,,,,,,,,,
,,2020,Oct,0.133,1.777,77023,,,,,,,,,,,,,,,,,,,,,,
,,2020,Nov,0.145,1.723,77024,,,,,,,,,,,,,,,,,,,,,,
,,2020,Dec,0.144,1.78,77025,,,,,,,,,,,,,,,,,,,,,,
