State,Zip,Year,Month,Electricity Price,Gas Price,DFW_ZIPs,,,,,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
TX,,2017,Jan,0.112,2.165,75001,,,,,,,,,,,,,,,,,,,,,,,
,,2017,Feb,0.112,2.066,75002,,,,,,,,,,,,,,,,,,,,,,,
,,2017,Mar,0.112,2.136,75006,,,,,,,,,,,,,,,,,,,,,,,
,,2017,Apr,0.112,2.290,75007,,,,,,,,,,,,,,,,,,,,,,,
,,2017,May,0.128,2.207,75009,,,,,,,,,,,,,,,,,,,,,,,
,,2017,Jun,0.128,2.214,75010,,,,,,,,,,,,,,,,,,,,,,,
,,2017,Jul,0.128,2.133,75011,,,,,,,,,,,,,,,,,,,,,,,
,,2017,Aug,0.128,2.247,75013,,,,,,,,,,,,,,,,,,,,,,,
,,2017,Sep,0.128,2.537,75015,,,,,,,,,,,,,,,,,,,,,,,
,,2017,Oct,0.128,2.256,75016,,,,,,,,,,,,,,,,,,,,,,,
,,2017,Nov,0.127,2.310,75019,,,,,,,,,,,,,,,,,,,,,,,
,,2017,Dec,0.126,2.210,75020,,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jan,0.126,2.273,75021,,,,,,,,,,,,,,,,,,,,,,,
,,2018,Feb,0.126,2.235,75022,,,,,,,,,,,,,,,,,,,,,,,
,,2018,Mar,0.124,2.332,75023,,,,,,,,,,,,,,,,,,,,,,,
,,2018,Apr,0.132,2.509,75024,,,,,,,,,,,,,,,,,,,,,,,
,,2018,May,0.133,2.721,75025,,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jun,0.142,2.762,75026,,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jul,0.142,2.623,75028,,,,,,,,,,,,,,,,,,,,,,,
,,2018,Aug,0.142,2.601,75030,,,,,,,,,,,,,,,,,,,,,,,
,,2018,Sep,0.136,2.636,75032,,,,,,,,,,,,,,,,,,,,,,,
,,2018,Oct,0.136,2.621,75034,,,,,,,,,,,,,,,,,,,,,,,
,,2018,Nov,0.136,2.267,75035,,,,,,,,,,,,,,,,,,,,,,,
,,2018,Dec,0.136,1.961,75038,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jan,0.141,1.892,75039,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Feb,0.141,2.031,75040,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Mar,0.142,2.332,75041,,,,,,,,,,,,0.112,0.112,0.112,0.112,0.128,0.128,0.128,0.128,0.128,0.128,0.127,0.126
,,2019,Apr,0.142,2.602,75042,,,,,,,,,,,,0.126,0.126,0.124,0.132,0.133,0.142,0.142,0.142,0.136,0.136,0.136,0.136
,,2019,May,0.142,2.604,75043,,,,,,,,,,,,,,,,,,,,,,,3.015
,,2019,Jun,0.142,2.399,75044,,,,,,,,,,,,2.165,2.066,2.136,2.290,2.207,2.214,2.133,2.247,2.537,2.256,2.310,2.210
,,2019,Jul,0.142,2.549,75046,,,,,,,,,,,,2.273,2.235,2.332,2.509,2.721,2.762,2.623,2.601,2.636,2.621,2.267,1.961
,,2019,Aug,0.142,2.335,75048,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Sep,0.143,2.348,75050,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Oct,0.143,2.249,75051,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Nov,0.142,2.286,75052,,,,,,,,,,,,,,,,,,,,,,,
,,2019,Dec,0.142,2.214,75053,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jan,0.141,2.235,75056,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Feb,0.137,2.054,75057,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Mar,0.134,1.919,75058,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Apr,0.134,1.417,75060,,,,,,,,,,,,,,,,,,,,,,,
,,2020,May,0.136,1.406,75061,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jun,0.136,1.722,75062,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jul,0.135,1.903,75063,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Aug,0.133,1.869,75065,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Sep,0.132,1.893,75067,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Oct,0.132,1.833,75068,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Nov,0.13,1.766,75069,,,,,,,,,,,,,,,,,,,,,,,
,,2020,Dec,0.13,1.885,75070,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jan,0.131,2.065,75071,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Feb,0.131,2.196,75074,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Mar,0.128,2.533,75075,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Apr,0.127,2.485,75076,,,,,,,,,,,,,,,,,,,,,,,
,,2021,May,0.128,2.737,75078,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jun,0.129,2.836,75080,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jul,0.133,2.882,75081,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Aug,0.144,2.894,75082,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Sep,0.152,2.91,75083,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Oct,0.153,3.033,75085,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Nov,0.153,3.137,75086,,,,,,,,,,,,,,,,,,,,,,,
,,2021,Dec,0.154,3.015,75087,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jan,0.161,3.058,75088,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Feb,0.162,3.288,75089,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Mar,0.162,3.901,75090,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Apr,0.162,3.816,75091,,,,,,,,,,,,,,,,,,,,,,,
,,2022,May,0.164,4.271,75092,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jun,0.174,4.748,75093,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jul,0.196,4.119,75094,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Aug,0.196,3.511,75098,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Sep,0.199,3.231,75099,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Oct,0.199,3.268,75101,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Nov,0.183,3.084,75102,,,,,,,,,,,,,,,,,,,,,,,
,,2022,Dec,0.183,2.782,75103,,,,,,,,,,,,,,,,,,,,,,,
,,2023,Jan,0.178,3.025,75104,,,,,,,,,,,,,,,,,,,,,,,
,,2023,Feb,0.178,3.055,75109,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75110,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75114,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75115,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75116,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75117,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75119,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75120,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75121,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75124,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75125,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75126,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75127,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75129,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75132,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75134,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75135,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75137,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75138,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75141,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75142,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75143,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75144,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75145,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75146,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75147,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75148,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75149,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75150,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75151,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75152,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75153,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75154,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75155,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75156,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75157,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75159,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75160,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75161,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75163,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75164,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75165,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75166,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75167,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75168,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75169,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75172,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75173,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75180,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75181,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75182,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75185,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75189,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75201,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75202,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75203,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75204,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75205,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75206,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75207,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75208,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75209,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75210,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75211,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75212,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75214,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75215,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75216,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75217,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75218,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75220,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75223,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75224,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75225,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75226,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75227,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75228,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75229,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75230,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75231,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75232,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75233,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75234,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75235,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75236,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75237,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75238,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75239,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75240,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75241,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75242,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75243,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75244,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75246,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75247,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75248,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75249,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75251,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75253,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75254,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75261,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75270,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75287,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75381,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75390,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75398,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75401,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75402,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75407,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75409,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75411,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75414,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75415,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75418,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75420,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75422,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75426,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75428,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75429,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75431,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75432,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75433,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75434,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75437,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75438,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75439,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75441,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75442,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75446,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75447,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75448,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75449,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75454,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75459,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75460,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75461,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75462,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75469,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75470,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75473,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75474,,,,,,,,,,,,,,,,,,,,,,,
