State,Zip,Year,Month,Electricity Price,Gas Price,Zip Codes,,,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
CO,,2017,Jan,0.120,2.429,80002,,,,,,,,,,0.120,0.120,0.120,0.122,0.121,0.134,0.126,0.126,0.126,0.118,0.118,0.118,
,,2017,Feb,0.120,2.427,80003,,,,,,,,,,0.120,0.120,0.120,0.122,0.121,0.134,0.126,0.126,0.126,0.118,0.118,0.118,
,,2017,Mar,0.120,2.458,80004,,,,,,,,,,,,,,,,,,,,,,
,,2017,Apr,0.122,2.626,80005,,,,,,,,,,2.429,2.427,2.458,2.626,2.842,2.850,2.797,2.812,2.937,2.878,2.692,2.407,
,,2017,May,0.121,2.842,80007,,,,,,,,,,2.429,2.427,2.458,2.626,2.842,2.850,2.797,2.812,2.937,2.878,2.692,2.407,
,,2017,Jun,0.134,2.850,80010,,,,,,,,,,,,,,,,,,,,,,
,,2017,Jul,0.126,2.797,80011,,,,,,,,,,,,,,,,,,,,,,
,,2017,Aug,0.126,2.812,80012,,,,,,,,,,,,,,,,,,,,,,
,,2017,Sep,0.126,2.937,80013,,,,,,,,,,,,,,,,,,,,,,
,,2017,Oct,0.118,2.878,80014,,,,,,,,,,,,,,,,,,,,,,
,,2017,Nov,0.118,2.692,80015,,,,,,,,,,,,,,,,,,,,,,
,,2017,Dec,0.118,2.407,80016,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jan,0.120,2.429,80017,,,,,,,,,,,,,,,,,,,,,,
,,2018,Feb,0.120,2.427,80018,,,,,,,,,,,,,,,,,,,,,,
,,2018,Mar,0.120,2.458,80019,,,,,,,,,,,,,,,,,,,,,,
,,2018,Apr,0.122,2.626,80020,,,,,,,,,,,,,,,,,,,,,,
,,2018,May,0.121,2.842,80021,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jun,0.134,2.850,80022,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jul,0.126,2.797,80023,,,,,,,,,,,,,,,,,,,,,,
,,2018,Aug,0.126,2.812,80024,,,,,,,,,,,,,,,,,,,,,,
,,2018,Sep,0.126,2.937,80030,,,,,,,,,,,,,,,,,,,,,,
,,2018,Oct,0.118,2.878,80031,,,,,,,,,,,,,,,,,,,,,,
,,2018,Nov,0.118,2.692,80033,,,,,,,,,,,,,,,,,,,,,,
,,2018,Dec,0.118,2.407,80102,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jan,0.112,2.089,80104,,,,,,,,,,,,,,,,,,,,,,
,,2019,Feb,0.113,2.003,80105,,,,,,,,,,,,,,,,,,,,,,
,,2019,Mar,0.113,2.29,80106,,,,,,,,,,,,,,,,,,,,,,
,,2019,Apr,0.11,2.618,80107,,,,,,,,,,,,,,,,,,,,,,
,,2019,May,0.11,2.803,80108,,,,,,,,,,,,,,,,,,,,,, 
,,2019,Jun,0.121,2.722,80109,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jul,0.121,2.595,80110,,,,,,,,,,,,,,,,,,,,,,
,,2019,Aug,0.121,2.438,80111,,,,,,,,,,,,,,,,,,,,,,
,,2019,Sep,0.127,2.533,80112,,,,,,,,,,,,,,,,,,,,,,
,,2019,Oct,0.116,2.672,80113,,,,,,,,,,,,,,,,,,,,,,
,,2019,Nov,0.114,2.732,80116,,,,,,,,,,,,,,,,,,,,,,
,,2019,Dec,0.114,2.709,80117,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jan,0.137,2.518,80118,,,,,,,,,,,,,,,,,,,,,,
,,2020,Feb,0.137,2.349,80120,,,,,,,,,,,,,,,,,,,,,,
,,2020,Mar,0.137,2.072,80121,,,,,,,,,,,,,,,,,,,,,,
,,2020,Apr,0.137,1.672,80122,,,,,,,,,,,`,,,,,,,,,,,
,,2020,May,0.137,1.797,80123,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jun,0.137,2.309,80124,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jul,0.137,2.516,80125,,,,,,,,,,,,,,,,,,,,,,
,,2020,Aug,0.137,2.378,80126,,,,,,,,,,,,,,,,,,,,,,
,,2020,Sep,0.137,2.27,80127,,,,,,,,,,,,,,,,,,,,,,
,,2020,Oct,0.137,2.153,80128,,,,,,,,,,,,,,,,,,,,,,
,,2020,Nov,0.137,2.074,80129,,,,,,,,,,,,,,,,,,,,,,
,,2020,Dec,0.137,2.17,80130,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jan,0.137,2.3,80134,,,,,,,,,,,,,,,,,,,,,,
,,2021,Feb,0.137,2.39,80135,,,,,,,,,,,,,,,,,,,,,,
,,2021,Mar,0.137,2.807,80136,,,,,,,,,,,,,,,,,,,,,,
,,2021,Apr,0.141,2.908,80137,,,,,,,,,,,,,,,,,,,,,,
,,2021,May,0.141,3.01,80138,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jun,0.141,3.353,80202,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jul,0.14,3.614,80203,,,,,,,,,,,,,,,,,,,,,,
,,2021,Aug,0.14,3.728,80204,,,,,,,,,,,,,,,,,,,,,,
,,2021,Sep,0.141,3.675,80205,,,,,,,,,,,,,,,,,,,,,,
,,2021,Oct,0.141,3.602,80206,,,,,,,,,,,,,,,,,,,,,,
,,2021,Nov,0.141,3.556,80207,,,,,,,,,,,,,,,,,,,,,,
,,2021,Dec,0.141,3.411,80209,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jan,0.141,3.321,80210,,,,,,,,,,,,,,,,,,,,,,
,,2022,Feb,0.141,3.374,80211,,,,,,,,,,,,,,,,,,,,,,
,,2022,Mar,0.149,3.975,80212,,,,,,,,,,,,,,,,,,,,,,
,,2022,Apr,0.149,4.051,80214,,,,,,,,,,,,,,,,,,,,,,
,,2022,May,0.149,4.19,80215,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jun,0.149,4.905,80216,,,,,,,,,,,,,,,,,,,,,,
