State,Zip,Year,Month,Electricity Price,Gas Price,Zip Codes,,,,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
NY,,2017,Jan,0.189,2.542,10001,,,,,,,,,,,0.189,0.194,0.192,0.189,0.202,0.208,0.205,0.201,0.203,0.190,0.200,0.208
,,2017,Feb,0.194,2.492,10002,,,,,,,,,,,0.202,0.198,0.206,0.203,0.210,0.217,0.216,0.208,0.212,0.206,0.194,0.193
,,2017,Mar,0.192,2.438,10003,,,,,,,,,,,,,,,,,,,,,,
,,2017,Apr,0.189,2.516,10004,,,,,,,,,,,2.542,2.492,2.438,2.516,2.511,2.488,2.441,2.512,2.827,2.652,2.658,2.623
,,2017,May,0.202,2.511,10005,,,,,,,,,,,2.685,2.750,2.682,2.814,3.020,3.065,3.003,2.988,2.975,2.974,2.845,2.655
,,2017,Jun,0.208,2.488,10006,,,,,,,,,,,,,,,,,,,,,,
,,2017,Jul,0.205,2.441,10007,,,,,,,,,,,,,,,,,,,,,,
,,2017,Aug,0.201,2.512,10009,,,,,,,,,,,,,,,,,,,,,,
,,2017,Sep,0.203,2.827,10010,,,,,,,,,,,,,,,,,,,,,,
,,2017,Oct,0.190,2.652,10011,,,,,,,,,,,,,,,,,,,,,,
,,2017,Nov,0.200,2.658,10012,,,,,,,,,,,,,,,,,,,,,,
,,2017,Dec,0.208,2.623,10013,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jan,0.202,2.685,10014,,,,,,,,,,,,,,,,,,,,,,
,,2018,Feb,0.198,2.750,10016,,,,,,,,,,,,,,,,,,,,,,
,,2018,Mar,0.206,2.682,10017,,,,,,,,,,,,,,,,,,,,,,
,,2018,Apr,0.203,2.814,10018,,,,,,,,,,,,,,,,,,,,,,
,,2018,May,0.210,3.020,10019,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jun,0.217,3.065,10020,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jul,0.216,3.003,10021,,,,,,,,,,,,,,,,,,,,,,
,,2018,Aug,0.208,2.988,10022,,,,,,,,,,,,,,,,,,,,,,
,,2018,Sep,0.212,2.975,10023,,,,,,,,,,,,,,,,,,,,,,
,,2018,Oct,0.206,2.974,10024,,,,,,,,,,,,,,,,,,,,,,
,,2018,Nov,0.194,2.845,10025,,,,,,,,,,,,,,,,,,,,,,
,,2018,Dec,0.193,2.655,10026,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jan,0.202,2.507,10027,,,,,,,,,,,,,,,,,,,,,,
,,2019,Feb,0.196,2.477,10028,,,,,,,,,,,,,,,,,,,,,,
,,2019,Mar,0.201,2.628,10029,,,,,,,,,,,,,,,,,,,,,,
,,2019,Apr,0.197,2.839,10030,,,,,,,,,,,,,,,,,,,,,,
,,2019,May,0.194,2.997,10031,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jun,0.211,2.912,10032,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jul,0.207,2.902,10033,,,,,,,,,,,,,,,,,,,,,,
,,2019,Aug,0.202,2.844,10034,,,,,,,,,,,,,,,,,,,,,,
,,2019,Sep,0.205,2.706,10035,,,,,,,,,,,,,,,,,,,,,,
,,2019,Oct,0.194,2.676,10036,,,,,,,,,,,,,,,,,,,,,,
,,2019,Nov,0.197,2.675,10037,,,,,,,,,,,,,,,,,,,,,,
,,2019,Dec,0.193,2.674,10038,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jan,0.199,2.705,10039,,,,,,,,,,,,,,,,,,,,,,
,,2020,Feb,0.201,2.617,10040,,,,,,,,,,,,,,,,,,,,,,
,,2020,Mar,0.198,2.483,10044,,,,,,,,,,,,,,,,,,,,,,
,,2020,Apr,0.195,2.261,10128,,,,,,,,,,,,,,,,,,,,,,
,,2020,May,0.199,2.151,10280,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jun,0.223,2.205,10301,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jul,0.218,2.258,10302,,,,,,,,,,,,,,,,,,,,,,
,,2020,Aug,0.209,2.245,10303,,,,,,,,,,,,,,,,,,,,,,
,,2020,Sep,0.211,2.261,10304,,,,,,,,,,,,,,,,,,,,,,
,,2020,Oct,0.202,2.248,10305,,,,,,,,,,,,,,,,,,,,,,
,,2020,Nov,0.201,2.209,10306,,,,,,,,,,,,,,,,,,,,,,
,,2020,Dec,0.211,2.285,10307,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jan,0.213,2.446,10308,,,,,,,,,,,,,,,,,,,,,,
,,2021,Feb,0.219,2.612,10309,,,,,,,,,,,,,,,,,,,,,,
,,2021,Mar,0.188,2.87,10310,,,,,,,,,,,,,,,,,,,,,,
,,2021,Apr,0.208,2.911,10311,,,,,,,,,,,,,,,,,,,,,,
,,2021,May,0.214,3.038,10312,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jun,0.222,3.202,10314,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jul,0.216,3.286,10451,,,,,,,,,,,,,,,,,,,,,,
,,2021,Aug,0.226,3.314,10452,,,,,,,,,,,,,,,,,,,,,,
,,2021,Sep,0.222,3.349,10453,,,,,,,,,,,,,,,,,,,,,,
,,2021,Oct,0.214,3.488,10454,,,,,,,,,,,,,,,,,,,,,,
,,2021,Nov,0.207,3.625,10455,,,,,,,,,,,,,,,,,,,,,,
,,2021,Dec,0.2,3.581,10456,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jan,0.256,3.537,10457,,,,,,,,,,,,,,,,,,,,,,
,,2022,Feb,0.196,3.719,10458,,,,,,,,,,,,,,,,,,,,,,
,,2022,Mar,0.225,4.388,10459,,,,,,,,,,,,,,,,,,,,,,
,,2022,Apr,0.235,4.29,10460,,,,,,,,,,,,,,,,,,,,,,
,,2022,May,0.241,4.828,10461,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jun,0.248,5.131,10462,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jul,0.232,4.8,10463,,,,,,,,,,,,,,,,,,,,,,
,,2022,Aug,0.249,4.323,10464,,,,,,,,,,,,,,,,,,,,,,
,,2022,Sep,0.245,3.832,10465,,,,,,,,,,,,,,,,,,,,,,
,,2022,Oct,0.235,3.732,10466,,,,,,,,,,,,,,,,,,,,,,
,,2022,Nov,0.232,3.97,10467,,,,,,,,,,,,,,,,,,,,,,
,,2022,Dec,0.231,3.6,10468,,,,,,,,,,,,,,,,,,,,,,
,,2023,Jan,0.243,3.569,10469,,,,,,,,,,,,,,,,,,,,,,
,,2023,Feb,0.237,3.576,10470,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10471,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10472,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10473,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10474,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10475,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11004,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11005,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11040,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11101,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11102,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11103,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11104,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11105,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11106,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11109,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11201,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11203,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11204,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11205,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11206,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11207,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11208,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11209,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11210,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11211,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11212,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11213,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11214,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11215,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11216,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11217,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11218,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11219,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11220,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11221,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11222,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11223,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11224,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11225,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11226,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11228,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11229,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11230,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11231,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11232,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11233,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11234,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11235,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11236,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11237,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11238,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11239,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11354,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11355,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11356,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11357,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11358,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11360,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11361,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11362,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11363,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11364,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11365,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11366,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11367,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11368,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11369,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11370,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11372,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11373,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11374,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11375,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11377,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11378,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11379,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11385,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11411,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11412,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11413,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11414,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11415,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11416,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11417,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11418,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11419,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11420,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11421,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11422,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11423,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11426,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11427,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11428,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11429,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11432,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11433,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11434,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11435,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11436,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11451,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11691,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11692,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11693,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11694,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11697,,,,,,,,,,,,,,,,,,,,,,
