State,Zip,Year,Month,Electricity Price,Gas Price,Zip Codes,,,,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
WA,,2017,Jan,0.106,2.686,98001,,,,,,,,,,,0.106,0.106,0.106,0.111,0.112,0.112,0.112,0.112,0.112,0.109,0.109,0.109
,,2017,Feb,0.106,2.666,98002,,,,,,,,,,,0.111,0.111,0.111,0.114,0.111,0.111,0.111,0.111,0.111,0.108,0.108,0.108
,,2017,Mar,0.106,2.726,98003,,,,,,,,,,,,,,,,,,,,,,
,,2017,Apr,0.111,2.790,98004,,,,,,,,,,,2.686,2.666,2.726,2.790,2.765,2.722,2.704,2.767,2.953,2.809,2.900,2.838
,,2017,May,0.112,2.765,98005,,,,,,,,,,,2.839,2.974,3.023,3.197,3.346,3.379,3.311,3.221,3.248,3.406,3.374,3.143
,,2017,Jun,0.112,2.722,98006,,,,,,,,,,,,,,,,,,,,,,
,,2017,Jul,0.112,2.704,98007,,,,,,,,,,,,,,,,,,,,,,
,,2017,Aug,0.112,2.767,98008,,,,,,,,,,,,,,,,,,,,,,
,,2017,Sep,0.112,2.953,98010,,,,,,,,,,,,,,,,,,,,,,
,,2017,Oct,0.109,2.809,98011,,,,,,,,,,,,,,,,,,,,,,
,,2017,Nov,0.109,2.900,98012,,,,,,,,,,,,,,,,,,,,,,
,,2017,Dec,0.109,2.838,98014,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jan,0.111,2.839,98019,,,,,,,,,,,,,,,,,,,,,,
,,2018,Feb,0.111,2.974,98020,,,,,,,,,,,,,,,,,,,,,,
,,2018,Mar,0.111,3.023,98021,,,,,,,,,,,,,,,,,,,,,,
,,2018,Apr,0.114,3.197,98022,,,,,,,,,,,,,,,,,,,,,,
,,2018,May,0.111,3.346,98023,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jun,0.111,3.379,98024,,,,,,,,,,,,,,,,,,,,,,
,,2018,Jul,0.111,3.311,98026,,,,,,,,,,,,,,,,,,,,,,
,,2018,Aug,0.111,3.221,98027,,,,,,,,,,,,,,,,,,,,,,
,,2018,Sep,0.111,3.248,98028,,,,,,,,,,,,,,,,,,,,,,
,,2018,Oct,0.108,3.406,98029,,,,,,,,,,,,,,,,,,,,,,
,,2018,Nov,0.108,3.374,98030,,,,,,,,,,,,,,,,,,,,,,
,,2018,Dec,0.108,3.143,98031,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jan,0.11,2.944,98032,,,,,,,,,,,,,,,,,,,,,,
,,2019,Feb,0.11,2.859,98033,,,,,,,,,,,,,,,,,,,,,,
,,2019,Mar,0.11,2.93,98034,,,,,,,,,,,,,,,,,,,,,,
,,2019,Apr,0.112,3.345,98036,,,,,,,,,,,,,,,,,,,,,,
,,2019,May,0.112,3.545,98037,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jun,0.112,3.41,98038,,,,,,,,,,,,,,,,,,,,,,
,,2019,Jul,0.111,3.286,98039,,,,,,,,,,,,,,,,,,,,,,
,,2019,Aug,0.111,3.175,98040,,,,,,,,,,,,,,,,,,,,,,
,,2019,Sep,0.111,3.114,98042,,,,,,,,,,,,,,,,,,,,,,
,,2019,Oct,0.109,3.255,98043,,,,,,,,,,,,,,,,,,,,,,
,,2019,Nov,0.109,3.284,98045,,,,,,,,,,,,,,,,,,,,,,
,,2019,Dec,0.109,3.079,98047,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jan,0.111,2.964,98050,,,,,,,,,,,,,,,,,,,,,,
,,2020,Feb,0.111,2.956,98051,,,,,,,,,,,,,,,,,,,,,,
,,2020,Mar,0.111,2.95,98052,,,,,,,,,,,,,,,,,,,,,,
,,2020,Apr,0.113,2.465,98053,,,,,,,,,,,,,,,,,,,,,,
,,2020,May,0.114,2.374,98055,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jun,0.114,2.462,98056,,,,,,,,,,,,,,,,,,,,,,
,,2020,Jul,0.114,2.621,98057,,,,,,,,,,,,,,,,,,,,,,
,,2020,Aug,0.114,2.667,98058,,,,,,,,,,,,,,,,,,,,,,
,,2020,Sep,0.114,2.689,98059,,,,,,,,,,,,,,,,,,,,,,
,,2020,Oct,0.113,2.627,98065,,,,,,,,,,,,,,,,,,,,,,
,,2020,Nov,0.113,2.608,98068,,,,,,,,,,,,,,,,,,,,,,
,,2020,Dec,0.114,2.647,98070,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jan,0.114,2.726,98072,,,,,,,,,,,,,,,,,,,,,,
,,2021,Feb,0.114,2.871,98074,,,,,,,,,,,,,,,,,,,,,,
,,2021,Mar,0.114,3.165,98075,,,,,,,,,,,,,,,,,,,,,,
,,2021,Apr,0.116,3.321,98077,,,,,,,,,,,,,,,,,,,,,,
,,2021,May,0.116,3.448,98087,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jun,0.116,3.832,98092,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jul,0.117,4.013,98101,,,,,,,,,,,,,,,,,,,,,,
,,2021,Aug,0.117,4.077,98102,,,,,,,,,,,,,,,,,,,,,,
,,2021,Sep,0.117,4.07,98103,,,,,,,,,,,,,,,,,,,,,,
,,2021,Oct,0.116,4.068,98104,,,,,,,,,,,,,,,,,,,,,,
,,2021,Nov,0.117,4.09,98105,,,,,,,,,,,,,,,,,,,,,,
,,2021,Dec,0.117,4.085,98106,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jan,0.117,4.138,98107,,,,,,,,,,,,,,,,,,,,,,
,,2022,Feb,0.117,4.182,98108,,,,,,,,,,,,,,,,,,,,,,
,,2022,Mar,0.117,4.848,98109,,,,,,,,,,,,,,,,,,,,,,
,,2022,Apr,0.119,4.908,98112,,,,,,,,,,,,,,,,,,,,,,
,,2022,May,0.118,5.212,98115,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jun,0.118,5.675,98116,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jul,0.118,5.46,98117,,,,,,,,,,,,,,,,,,,,,,
,,2022,Aug,0.118,5.024,98118,,,,,,,,,,,,,,,,,,,,,,
,,2022,Sep,0.118,4.949,98119,,,,,,,,,,,,,,,,,,,,,,
,,2022,Oct,0.118,5.429,98121,,,,,,,,,,,,,,,,,,,,,,
,,2022,Nov,0.118,4.965,98122,,,,,,,,,,,,,,,,,,,,,,
,,2022,Dec,0.118,4.329,98125,,,,,,,,,,,,,,,,,,,,,,
,,2023,Jan,0.126,4.242,98126,,,,,,,,,,,,,,,,,,,,,,
,,2023,Feb,0.126,4.397,98133,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98134,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98136,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98144,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98146,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98148,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98154,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98155,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98158,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98164,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98166,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98168,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98174,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98177,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98178,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98188,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98195,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98198,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98199,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98201,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98203,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98204,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98205,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98207,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98208,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98223,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98224,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98241,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98251,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98252,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98256,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98258,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98270,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98271,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98272,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98275,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98282,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98288,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98290,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98292,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98294,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98296,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98303,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98304,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98321,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98323,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98327,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98328,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98329,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98330,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98332,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98333,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98335,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98338,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98349,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98351,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98354,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98355,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98360,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98371,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98372,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98373,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98374,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98375,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98385,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98387,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98388,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98390,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98391,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98394,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98396,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98402,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98403,,,,,,,,,,,,,,,,,,,,,,
