countyname,fipscounty,neighborname,fipsneighbor,county,state,neighbor_county,neighbor_state,count,distance_(mi),Coordinates,county_lat,county_lon
"Adams County, CO",8001,"Adams County, CO",8001,Adams County,CO,Adams County,CO,1,0.0,"(39.8714085, -104.2701374)",39.8714085,-104.2701374
"Adams County, CO",8001,"Arapahoe County, CO",8005,Adams County,CO,Arapahoe County,CO,1,16.600484759549765,"(39.8714085, -104.2701374)",39.8714085,-104.2701374
"Adams County, CO",8001,"Broomfield County, CO",8014,Adams County,CO,Broomfield County,CO,1,683.5818021124206,"(39.8714085, -104.2701374)",39.8714085,-104.2701374
"Adams County, CO",8001,"Denver County, CO",8031,Adams County,CO,Denver County,CO,1,649.9675785043262,"(39.8714085, -104.2701374)",39.8714085,-104.2701374
"Adams County, CO",8001,"Jefferson County, CO",8059,Adams County,CO,Jefferson County,CO,1,56.49972286718732,"(39.8714085, -104.2701374)",39.8714085,-104.2701374
"Adams County, CO",8001,"Morgan County, CO",8087,Adams County,CO,Morgan County,CO,1,34.82042795199399,"(39.8714085, -104.2701374)",39.8714085,-104.2701374
"Adams County, CO",8001,"Washington County, CO",8121,Adams County,CO,Washington County,CO,1,59.45531734308016,"(39.8714085, -104.2701374)",39.8714085,-104.2701374
"Adams County, CO",8001,"Weld County, CO",8123,Adams County,CO,Weld County,CO,1,49.049660922110576,"(39.8714085, -104.2701374)",39.8714085,-104.2701374
"Alamosa County, CO",8003,"Alamosa County, CO",8003,Alamosa County,CO,Alamosa County,CO,1,0.0,"(37.5780995, -105.7890452)",37.5780995,-105.7890452
"Alamosa County, CO",8003,"Conejos County, CO",8021,Alamosa County,CO,Conejos County,CO,1,34.109665566677336,"(37.5780995, -105.7890452)",37.5780995,-105.7890452
"Alamosa County, CO",8003,"Costilla County, CO",8023,Alamosa County,CO,Costilla County,CO,1,31.1482609089796,"(37.5780995, -105.7890452)",37.5780995,-105.7890452
"Alamosa County, CO",8003,"Huerfano County, CO",8055,Alamosa County,CO,Huerfano County,CO,1,42.92524445536208,"(37.5780995, -105.7890452)",37.5780995,-105.7890452
"Alamosa County, CO",8003,"Rio Grande County, CO",8105,Alamosa County,CO,Rio Grande County,CO,1,32.62434469187306,"(37.5780995, -105.7890452)",37.5780995,-105.7890452
"Alamosa County, CO",8003,"Saguache County, CO",8109,Alamosa County,CO,Saguache County,CO,1,47.23792049680565,"(37.5780995, -105.7890452)",37.5780995,-105.7890452
"Arapahoe County, CO",8005,"Adams County, CO",8001,Arapahoe County,CO,Adams County,CO,1,16.600484759549765,"(39.6416781, -104.3628567)",39.6416781,-104.3628567
"Arapahoe County, CO",8005,"Arapahoe County, CO",8005,Arapahoe County,CO,Arapahoe County,CO,1,0.0,"(39.6416781, -104.3628567)",39.6416781,-104.3628567
"Arapahoe County, CO",8005,"Denver County, CO",8031,Arapahoe County,CO,Denver County,CO,1,660.4266260325584,"(39.6416781, -104.3628567)",39.6416781,-104.3628567
"Arapahoe County, CO",8005,"Douglas County, CO",8035,Arapahoe County,CO,Douglas County,CO,1,37.44147552593737,"(39.6416781, -104.3628567)",39.6416781,-104.3628567
"Arapahoe County, CO",8005,"Elbert County, CO",8039,Arapahoe County,CO,Elbert County,CO,1,27.001005289415783,"(39.6416781, -104.3628567)",39.6416781,-104.3628567
"Arapahoe County, CO",8005,"Jefferson County, CO",8059,Arapahoe County,CO,Jefferson County,CO,1,47.928653529248486,"(39.6416781, -104.3628567)",39.6416781,-104.3628567
"Arapahoe County, CO",8005,"Lincoln County, CO",8073,Arapahoe County,CO,Lincoln County,CO,1,68.33738316828213,"(39.6416781, -104.3628567)",39.6416781,-104.3628567
"Arapahoe County, CO",8005,"Washington County, CO",8121,Arapahoe County,CO,Washington County,CO,1,66.90343257824203,"(39.6416781, -104.3628567)",39.6416781,-104.3628567
"Archuleta County, CO",8007,"Archuleta County, CO",8007,Archuleta County,CO,Archuleta County,CO,1,0.0,"(37.1995993, -107.0842479)",37.1995993,-107.0842479
"Archuleta County, CO",8007,"Conejos County, CO",8021,Archuleta County,CO,Conejos County,CO,1,50.69413071600516,"(37.1995993, -107.0842479)",37.1995993,-107.0842479
"Archuleta County, CO",8007,"Hinsdale County, CO",8053,Archuleta County,CO,Hinsdale County,CO,1,44.45677534548441,"(37.1995993, -107.0842479)",37.1995993,-107.0842479
"Archuleta County, CO",8007,"La Plata County, CO",8067,Archuleta County,CO,La Plata County,CO,1,42.87764866020215,"(37.1995993, -107.0842479)",37.1995993,-107.0842479
"Archuleta County, CO",8007,"Mineral County, CO",8079,Archuleta County,CO,Mineral County,CO,1,32.742782177745255,"(37.1995993, -107.0842479)",37.1995993,-107.0842479
"Archuleta County, CO",8007,"Rio Grande County, CO",8105,Archuleta County,CO,Rio Grande County,CO,1,46.147528898616805,"(37.1995993, -107.0842479)",37.1995993,-107.0842479
"Archuleta County, CO",8007,"Rio Arriba County, NM",35039,Archuleta County,CO,Rio Arriba County,NM,1,47.28013160913415,"(37.1995993, -107.0842479)",37.1995993,-107.0842479
"Archuleta County, CO",8007,"San Juan County, NM",35045,Archuleta County,CO,San Juan County,NM,1,84.07133491630113,"(37.1995993, -107.0842479)",37.1995993,-107.0842479
