County,Registration Date,PHEV,Average EV Price,New Car Average,population,household_income,state,POPDEN_COU,Electricity Price,Gas Price,NY,TX,WA,Unix Time,fips,BEV
Adams County,2017-01-01,22.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1483228800.0,8001,24.0
Adams County,2017-02-01,27.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1485907200.0,8001,25.0
Adams County,2017-03-01,21.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1488326400.0,8001,13.0
Adams County,2017-04-01,14.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1491004800.0,8001,15.0
Adams County,2017-05-01,27.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1493596800.0,8001,21.0
Adams County,2017-06-01,28.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1496275200.0,8001,21.0
Adams County,2017-07-01,23.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1498867200.0,8001,34.0
Adams County,2017-08-01,28.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1501545600.0,8001,29.0
Adams County,2017-09-01,33.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1504224000.0,8001,25.0
Adams County,2017-10-01,26.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1506816000.0,8001,31.0
Adams County,2017-11-01,31.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1509494400.0,8001,20.0
Adams County,2017-12-01,17.0,54669,38747,509844,167290,CO,445.323695077875,0.1266,3.378,0,0,0,1512086400.0,8001,18.0
Adams County,2018-01-01,29.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1514764800.0,8001,35.0
Adams County,2018-02-01,31.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1517443200.0,8001,26.0
Adams County,2018-03-01,27.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1519862400.0,8001,21.0
Adams County,2018-04-01,27.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1522540800.0,8001,15.0
Adams County,2018-05-01,30.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1525132800.0,8001,25.0
Adams County,2018-06-01,38.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1527811200.0,8001,26.0
Adams County,2018-07-01,34.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1530403200.0,8001,39.0
Adams County,2018-08-01,14.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1533081600.0,8001,23.0
Adams County,2018-09-01,34.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1535760000.0,8001,31.0
Adams County,2018-10-01,39.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1538352000.0,8001,44.0
Adams County,2018-11-01,20.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1541030400.0,8001,52.0
Adams County,2018-12-01,36.0,54669,38747,509844,167290,CO,445.323695077875,0.1273,3.378,0,0,0,1543622400.0,8001,62.0
Adams County,2019-01-01,48.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1546300800.0,8001,104.0
Adams County,2019-02-01,111.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1548979200.0,8001,163.0
Adams County,2019-03-01,177.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1551398400.0,8001,102.0
Adams County,2019-04-01,211.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1554076800.0,8001,155.0
Adams County,2019-05-01,150.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1556668800.0,8001,238.0
Adams County,2019-06-01,266.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1559347200.0,8001,334.0
Adams County,2019-07-01,342.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1561939200.0,8001,526.0
Adams County,2019-08-01,280.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1564617600.0,8001,663.0
Adams County,2019-09-01,378.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1567296000.0,8001,664.0
Adams County,2019-10-01,433.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1569888000.0,8001,675.0
Adams County,2019-11-01,394.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1572566400.0,8001,680.0
Adams County,2019-12-01,575.0,54669,38747,509844,167290,CO,445.323695077875,0.1279,3.378,0,0,0,1575158400.0,8001,876.0
Adams County,2020-01-01,415.0,54669,38747,509844,167290,CO,445.323695077875,0.1286,3.378,0,0,0,1577836800.0,8001,1084.0
Adams County,2020-02-01,513.0,56326,38550,509844,167290,CO,445.323695077875,0.1286,3.378,0,0,0,1580515200.0,8001,1233.0
Adams County,2020-03-01,396.0,56059,38812,509844,167290,CO,445.323695077875,0.1286,3.378,0,0,0,1583020800.0,8001,476.0
Adams County,2020-04-01,276.0,57757,39904,509844,167290,CO,445.323695077875,0.1286,3.378,0,0,0,1585699200.0,8001,393.0
Adams County,2020-05-01,428.0,58863,39138,509844,167290,CO,445.323695077875,0.1286,3.378,0,0,0,1588291200.0,8001,485.0
Adams County,2020-06-01,513.0,57480,39731,509844,167290,CO,445.323695077875,0.1286,3.378,0,0,0,1590969600.0,8001,903.0
