PHEV,BEV
22.0,24.0
61.0,65.0
63.0,167.0
7.0,14.0
56.0,94.0
38.0,30.0
2.0,6.0
40.0,25.0
1.0,1.0
5.0,6.0
2.0,1.0
73.0,85.0
3.0,4.0
30.0,60.0
4.0,5.0
1.0,1.0
2.0,5.0
10.0,2.0
1.0,1.0
2.0,4.0
23.0,19.0
27.0,25.0
42.0,73.0
49.0,139.0
11.0,18.0
2.0,1.0
1.0,1.0
95.0,70.0
44.0,49.0
6.0,11.0
44.0,31.0
1.0,1.0
7.0,3.0
1.0,1.0
1.0,1.0
1.0,1.0
61.0,79.0
1.0,1.0
32.0,67.0
3.0,7.0
2.0,1.0
3.0,6.0
2.0,2.0
2.0,2.0
1.0,4.0
3.0,2.0
15.0,17.0
21.0,13.0
43.0,45.0
60.0,77.0
7.0,5.0
67.0,66.0
35.0,37.0
3.0,3.0
31.0,14.0
2.0,2.0
3.0,2.0
52.0,66.0
25.0,40.0
4.0,5.0
2.0,3.0
7.0,2.0
1.0,2.0
2.0,2.0
2.0,2.0
5.0,19.0
14.0,15.0
42.0,46.0
50.0,99.0
7.0,10.0
47.0,77.0
27.0,42.0
4.0,2.0
41.0,30.0
1.0,4.0
1.0,1.0
40.0,52.0
3.0,7.0
25.0,51.0
2.0,3.0
1.0,1.0
2.0,5.0
1.0,1.0
2.0,4.0
11.0,10.0
27.0,21.0
54.0,78.0
58.0,128.0
8.0,12.0
1.0,1.0
56.0,118.0
33.0,65.0
2.0,7.0
35.0,31.0
2.0,2.0
8.0,2.0
63.0,66.0
2.0,1.0
24.0,68.0
2.0,7.0
1.0,2.0
2.0,10.0
3.0,4.0
1.0,1.0
1.0,1.0
12.0,22.0
28.0,21.0
62.0,54.0
67.0,152.0
10.0,18.0
69.0,84.0
39.0,35.0
2.0,9.0
37.0,30.0
3.0,1.0
11.0,8.0
56.0,77.0
1.0,12.0
37.0,40.0
2.0,1.0
5.0,3.0
4.0,15.0
10.0,4.0
1.0,3.0
1.0,1.0
3.0,2.0
19.0,25.0
23.0,34.0
33.0,68.0
62.0,152.0
8.0,28.0
53.0,103.0
28.0,47.0
4.0,7.0
41.0,39.0
3.0,4.0
51.0,102.0
25.0,39.0
2.0,1.0
6.0,6.0
1.0,11.0
5.0,6.0
1.0,2.0
16.0,25.0
28.0,29.0
50.0,83.0
61.0,154.0
7.0,22.0
2.0,1.0
2.0,1.0
72.0,134.0
37.0,67.0
4.0,5.0
60.0,44.0
2.0,1.0
4.0,2.0
6.0,5.0
62.0,126.0
2.0,4.0
41.0,58.0
4.0,2.0
1.0,2.0
2.0,11.0
4.0,2.0
1.0,1.0
1.0,4.0
22.0,22.0
33.0,25.0
57.0,59.0
56.0,161.0
15.0,18.0
2.0,1.0
64.0,104.0
32.0,50.0
3.0,12.0
42.0,37.0
5.0,1.0
5.0,1.0
1.0,5.0
57.0,91.0
1.0,5.0
41.0,37.0
1.0,1.0
8.0,8.0
1.0,13.0
5.0,8.0
2.0,6.0
20.0,22.0
26.0,31.0
64.0,70.0
81.0,160.0
11.0,20.0
1.0,1.0
66.0,91.0
55.0,65.0
5.0,8.0
57.0,42.0
5.0,5.0
2.0,1.0
85.0,114.0
3.0,5.0
33.0,61.0
7.0,4.0
2.0,1.0
1.0,1.0
3.0,11.0
10.0,4.0
3.0,5.0
1.0,5.0
22.0,23.0
31.0,20.0
50.0,87.0
52.0,166.0
11.0,13.0
2.0,1.0
88.0,101.0
51.0,64.0
3.0,9.0
74.0,48.0
1.0,4.0
3.0,3.0
72.0,75.0
2.0,3.0
32.0,51.0
4.0,6.0
1.0,1.0
2.0,2.0
3.0,8.0
5.0,2.0
2.0,2.0
3.0,3.0
26.0,28.0
17.0,18.0
59.0,77.0
78.0,169.0
17.0,16.0
1.0,3.0
80.0,103.0
54.0,50.0
3.0,4.0
40.0,37.0
7.0,5.0
1.0,1.0
85.0,75.0
4.0,6.0
38.0,56.0
4.0,4.0
1.0,1.0
3.0,1.0
1.0,2.0
2.0,8.0
7.0,5.0
1.0,1.0
35.0,14.0
29.0,35.0
73.0,119.0
81.0,188.0
16.0,23.0
1.0,1.0
88.0,122.0
56.0,60.0
9.0,7.0
72.0,42.0
2.0,2.0
8.0,10.0
1.0,2.0
2.0,2.0
88.0,100.0
2.0,6.0
53.0,65.0
6.0,8.0
1.0,2.0
2.0,5.0
7.0,1.0
1.0,3.0
1.0,4.0
1.0,1.0
28.0,31.0
31.0,26.0
65.0,77.0
1.0,1.0
61.0,167.0
10.0,28.0
1.0,1.0
82.0,106.0
61.0,41.0
11.0,8.0
60.0,51.0
1.0,1.0
7.0,8.0
2.0,2.0
83.0,93.0
1.0,3.0
42.0,73.0
6.0,9.0
1.0,2.0
1.0,6.0
9.0,5.0
3.0,3.0
2.0,2.0
25.0,15.0
27.0,21.0
66.0,55.0
87.0,144.0
15.0,16.0
102.0,92.0
57.0,53.0
2.0,5.0
50.0,34.0
4.0,4.0
4.0,5.0
1.0,3.0
82.0,66.0
3.0,5.0
38.0,55.0
9.0,5.0
2.0,1.0
4.0,3.0
7.0,3.0
1.0,4.0
1.0,1.0
3.0,3.0
25.0,23.0
27.0,15.0
54.0,78.0
1.0,1.0
79.0,145.0
9.0,9.0
1.0,1.0
79.0,122.0
41.0,59.0
5.0,7.0
60.0,45.0
1.0,2.0
6.0,2.0
4.0,2.0
62.0,67.0
3.0,6.0
41.0,69.0
8.0,8.0
1.0,1.0
2.0,1.0
3.0,6.0
5.0,3.0
2.0,3.0
4.0,2.0
22.0,27.0
30.0,25.0
73.0,98.0
73.0,182.0
14.0,27.0
1.0,2.0
87.0,151.0
46.0,81.0
2.0,10.0
49.0,59.0
2.0,3.0
9.0,3.0
96.0,111.0
2.0,8.0
58.0,67.0
4.0,10.0
1.0,1.0
3.0,11.0
7.0,2.0
1.0,2.0
4.0,3.0
27.0,27.0
38.0,26.0
73.0,81.0
86.0,193.0
15.0,25.0
77.0,133.0
42.0,77.0
4.0,6.0
58.0,44.0
3.0,1.0
7.0,10.0
1.0,1.0
77.0,100.0
6.0,5.0
35.0,67.0
10.0,6.0
3.0,1.0
2.0,3.0
5.0,23.0
6.0,3.0
2.0,1.0
1.0,3.0
4.0,2.0
23.0,25.0
34.0,39.0
79.0,95.0
98.0,209.0
7.0,30.0
92.0,116.0
46.0,87.0
7.0,10.0
63.0,62.0
2.0,5.0
5.0,3.0
9.0,6.0
77.0,127.0
1.0,9.0
39.0,60.0
9.0,8.0
2.0,1.0
4.0,16.0
1.0,1.0
8.0,4.0
3.0,6.0
25.0,28.0
14.0,23.0
31.0,58.0
53.0,104.0
10.0,19.0
40.0,72.0
37.0,44.0
3.0,5.0
33.0,38.0
3.0,4.0
43.0,58.0
19.0,21.0
1.0,4.0
1.0,4.0
1.0,4.0
19.0,18.0
34.0,31.0
70.0,70.0
89.0,170.0
11.0,22.0
75.0,136.0
44.0,59.0
4.0,7.0
59.0,47.0
3.0,2.0
1.0,2.0
1.0,3.0
1.0,1.0
65.0,101.0
4.0,4.0
49.0,56.0
4.0,6.0
1.0,1.0
1.0,12.0
5.0,3.0
3.0,2.0
19.0,20.0
39.0,44.0
95.0,111.0
80.0,212.0
16.0,28.0
4.0,2.0
106.0,170.0
67.0,109.0
6.0,15.0
64.0,89.0
2.0,3.0
7.0,6.0
3.0,2.0
110.0,178.0
3.0,6.0
47.0,73.0
1.0,1.0
9.0,7.0
2.0,1.0
1.0,3.0
2.0,2.0
2.0,11.0
10.0,6.0
4.0,8.0
4.0,9.0
29.0,33.0
20.0,52.0
60.0,129.0
91.0,270.0
13.0,38.0
1.0,3.0
86.0,206.0
52.0,132.0
4.0,12.0
59.0,93.0
1.0,2.0
2.0,4.0
3.0,1.0
62.0,157.0
5.0,9.0
29.0,73.0
2.0,1.0
1.0,1.0
13.0,5.0
2.0,2.0
1.0,3.0
1.0,4.0
10.0,6.0
3.0,2.0
3.0,7.0
1.0,3.0
27.0,40.0
36.0,62.0
101.0,192.0
72.0,260.0
21.0,41.0
1.0,2.0
5.0,3.0
113.0,263.0
73.0,132.0
4.0,13.0
57.0,94.0
12.0,11.0
1.0,2.0
139.0,178.0
1.0,1.0
3.0,13.0
65.0,86.0
8.0,13.0
2.0,2.0
3.0,4.0
4.0,5.0
8.0,6.0
1.0,4.0
1.0,9.0
2.0,11.0
42.0,48.0
48.0,104.0
156.0,369.0
210.0,675.0
27.0,109.0
3.0,2.0
3.0,5.0
193.0,486.0
105.0,305.0
23.0,25.0
152.0,202.0
1.0,2.0
7.0,1.0
14.0,37.0
5.0,1.0
9.0,5.0
3.0,5.0
185.0,388.0
15.0,11.0
98.0,217.0
21.0,38.0
1.0,1.0
3.0,7.0
1.0,10.0
6.0,32.0
6.0,18.0
2.0,10.0
2.0,8.0
2.0,19.0
61.0,106.0
111.0,163.0
193.0,455.0
244.0,688.0
30.0,113.0
1.0,3.0
5.0,6.0
390.0,764.0
229.0,453.0
11.0,33.0
195.0,301.0
26.0,36.0
4.0,4.0
4.0,7.0
279.0,608.0
8.0,9.0
181.0,288.0
23.0,33.0
10.0,2.0
4.0,1.0
3.0,22.0
25.0,20.0
2.0,5.0
3.0,17.0
13.0,31.0
2.0,3.0
64.0,122.0
177.0,102.0
279.0,318.0
389.0,775.0
62.0,84.0
1.0,14.0
424.0,625.0
287.0,346.0
25.0,44.0
219.0,247.0
12.0,4.0
3.0,6.0
20.0,10.0
7.0,1.0
345.0,466.0
13.0,37.0
144.0,325.0
69.0,46.0
4.0,5.0
6.0,5.0
10.0,33.0
42.0,23.0
6.0,15.0
15.0,4.0
87.0,158.0
211.0,155.0
343.0,585.0
5.0,5.0
595.0,1230.0
68.0,87.0
5.0,8.0
5.0,4.0
463.0,929.0
301.0,490.0
23.0,57.0
267.0,319.0
49.0,52.0
5.0,8.0
515.0,607.0
18.0,30.0
281.0,460.0
35.0,50.0
15.0,1.0
9.0,4.0
9.0,5.0
12.0,44.0
31.0,9.0
5.0,20.0
22.0,43.0
11.0,11.0
128.0,220.0
150.0,238.0
465.0,868.0
7.0,8.0
488.0,1473.0
90.0,214.0
11.0,25.0
528.0,1266.0
317.0,723.0
30.0,70.0
421.0,535.0
24.0,17.0
7.0,8.0
48.0,59.0
8.0,25.0
625.0,933.0
39.0,31.0
384.0,671.0
58.0,51.0
13.0,15.0
2.0,24.0
27.0,55.0
32.0,29.0
5.0,7.0
17.0,26.0
7.0,27.0
6.0,20.0
177.0,233.0
266.0,334.0
615.0,925.0
689.0,1470.0
120.0,258.0
6.0,25.0
3.0,6.0
863.0,1426.0
400.0,772.0
15.0,101.0
429.0,493.0
24.0,34.0
14.0,6.0
59.0,61.0
3.0,6.0
529.0,1026.0
20.0,61.0
355.0,528.0
57.0,47.0
39.0,6.0
14.0,122.0
68.0,55.0
9.0,11.0
25.0,53.0
3.0,13.0
206.0,255.0
342.0,526.0
700.0,1216.0
878.0,2204.0
126.0,286.0
15.0,15.0
954.0,1567.0
511.0,1075.0
26.0,155.0
556.0,669.0
18.0,8.0
25.0,12.0
82.0,101.0
8.0,14.0
728.0,1487.0
46.0,103.0
439.0,757.0
7.0,9.0
40.0,9.0
55.0,17.0
19.0,25.0
13.0,14.0
55.0,218.0
7.0,8.0
63.0,47.0
27.0,62.0
10.0,28.0
246.0,447.0
280.0,663.0
700.0,1402.0
808.0,2085.0
131.0,368.0
10.0,23.0
925.0,1911.0
643.0,1112.0
53.0,93.0
641.0,888.0
11.0,25.0
25.0,15.0
27.0,94.0
8.0,18.0
759.0,1709.0
34.0,59.0
505.0,902.0
16.0,7.0
66.0,80.0
27.0,11.0
48.0,84.0
82.0,35.0
25.0,13.0
22.0,83.0
233.0,398.0
378.0,664.0
738.0,1102.0
1064.0,2517.0
175.0,392.0
8.0,10.0
1037.0,1856.0
700.0,1009.0
61.0,108.0
614.0,772.0
18.0,21.0
33.0,17.0
63.0,81.0
36.0,16.0
29.0,19.0
882.0,1615.0
37.0,39.0
571.0,794.0
82.0,134.0
28.0,12.0
20.0,18.0
8.0,4.0
21.0,143.0
96.0,45.0
3.0,25.0
8.0,56.0
33.0,82.0
59.0,10.0
375.0,390.0
433.0,675.0
1027.0,1883.0
1045.0,2542.0
147.0,431.0
10.0,44.0
10.0,20.0
11.0,10.0
1147.0,3023.0
609.0,1455.0
104.0,141.0
845.0,1286.0
29.0,52.0
18.0,10.0
51.0,109.0
11.0,14.0
21.0,9.0
9.0,12.0
9.0,6.0
1082.0,2314.0
61.0,91.0
681.0,1583.0
134.0,94.0
10.0,45.0
22.0,30.0
39.0,140.0
122.0,50.0
30.0,87.0
21.0,102.0
23.0,23.0
370.0,536.0
394.0,680.0
844.0,2078.0
1441.0,4583.0
184.0,510.0
8.0,20.0
30.0,54.0
1143.0,3376.0
780.0,2070.0
21.0,136.0
1046.0,1663.0
11.0,33.0
54.0,204.0
19.0,24.0
1139.0,2709.0
64.0,132.0
603.0,1464.0
100.0,229.0
10.0,12.0
21.0,10.0
7.0,24.0
6.0,165.0
146.0,67.0
10.0,13.0
11.0,54.0
57.0,101.0
447.0,715.0
575.0,876.0
999.0,3868.0
1230.0,4943.0
318.0,658.0
25.0,49.0
14.0,12.0
34.0,23.0
1512.0,3755.0
805.0,2072.0
133.0,215.0
909.0,1755.0
14.0,49.0
122.0,191.0
12.0,48.0
25.0,49.0
1559.0,2749.0
60.0,168.0
1023.0,1554.0
20.0,13.0
167.0,176.0
12.0,13.0
10.0,13.0
38.0,71.0
25.0,12.0
10.0,12.0
13.0,50.0
70.0,87.0
93.0,138.0
19.0,60.0
22.0,78.0
625.0,568.0
415.0,1084.0
1443.0,4348.0
2044.0,6010.0
287.0,833.0
39.0,62.0
1521.0,4791.0
1044.0,2641.0
108.0,349.0
1073.0,1948.0
13.0,109.0
105.0,330.0
14.0,13.0
13.0,41.0
25.0,44.0
1502.0,3822.0
138.0,181.0
1188.0,2087.0
15.0,10.0
214.0,238.0
23.0,47.0
13.0,13.0
23.0,65.0
58.0,249.0
107.0,147.0
15.0,62.0
11.0,61.0
29.0,170.0
627.0,903.0
513.0,1233.0
12.0,12.0
1029.0,3087.0
1234.0,4560.0
227.0,715.0
48.0,39.0
2036.0,4564.0
840.0,2815.0
78.0,283.0
1235.0,1773.0
25.0,61.0
18.0,12.0
115.0,213.0
7.0,20.0
41.0,13.0
13.0,25.0
1352.0,3730.0
58.0,126.0
12.0,12.0
790.0,1909.0
11.0,13.0
136.0,172.0
25.0,24.0
26.0,140.0
86.0,143.0
38.0,165.0
27.0,99.0
36.0,15.0
450.0,914.0
396.0,476.0
667.0,1257.0
915.0,2304.0
240.0,251.0
12.0,12.0
34.0,39.0
1395.0,2028.0
726.0,1394.0
67.0,77.0
633.0,851.0
33.0,12.0
111.0,105.0
24.0,1.0
13.0,12.0
1041.0,2005.0
12.0,95.0
631.0,1213.0
224.0,126.0
12.0,13.0
25.0,34.0
23.0,70.0
77.0,37.0
8.0,60.0
69.0,49.0
24.0,41.0
259.0,499.0
276.0,393.0
691.0,1453.0
11.0,22.0
899.0,2371.0
177.0,296.0
13.0,11.0
848.0,1710.0
582.0,1205.0
48.0,114.0
666.0,774.0
64.0,122.0
11.0,18.0
945.0,1500.0
59.0,58.0
676.0,1252.0
112.0,89.0
11.0,11.0
12.0,11.0
13.0,11.0
38.0,108.0
68.0,36.0
24.0,23.0
35.0,38.0
313.0,476.0
428.0,485.0
934.0,1579.0
1100.0,3359.0
136.0,491.0
12.0,12.0
49.0,28.0
1420.0,2718.0
518.0,1293.0
82.0,105.0
668.0,1195.0
23.0,40.0
25.0,24.0
156.0,150.0
37.0,68.0
1136.0,1993.0
48.0,140.0
751.0,1138.0
12.0,6.0
118.0,160.0
11.0,23.0
38.0,60.0
13.0,12.0
62.0,78.0
62.0,56.0
5.0,37.0
12.0,44.0
22.0,64.0
12.0,24.0
421.0,736.0
513.0,903.0
1199.0,2023.0
1536.0,3901.0
371.0,615.0
11.0,52.0
21.0,36.0
1559.0,2351.0
757.0,1662.0
69.0,321.0
733.0,1093.0
35.0,49.0
22.0,36.0
177.0,204.0
12.0,22.0
1245.0,2432.0
57.0,133.0
13.0,12.0
772.0,1258.0
106.0,83.0
13.0,35.0
27.0,252.0
83.0,58.0
11.0,36.0
51.0,71.0
40.0,60.0
374.0,776.0
482.0,877.0
954.0,2136.0
1588.0,3906.0
211.0,611.0
12.0,48.0
1800.0,3549.0
959.0,1898.0
58.0,314.0
1056.0,1306.0
36.0,50.0
37.0,124.0
37.0,35.0
1111.0,2830.0
49.0,153.0
12.0,22.0
767.0,1425.0
60.0,13.0
128.0,185.0
13.0,22.0
82.0,45.0
37.0,24.0
87.0,171.0
133.0,161.0
13.0,73.0
12.0,44.0
87.0,153.0
422.0,785.0
363.0,962.0
1135.0,2612.0
14.0,7.0
1404.0,4438.0
260.0,721.0
25.0,47.0
37.0,13.0
1663.0,3789.0
770.0,1911.0
48.0,195.0
947.0,1877.0
22.0,44.0
60.0,25.0
64.0,267.0
11.0,74.0
12.0,26.0
1034.0,2667.0
33.0,127.0
833.0,1494.0
12.0,22.0
140.0,111.0
14.0,26.0
24.0,12.0
37.0,12.0
93.0,143.0
110.0,68.0
12.0,1.0
36.0,65.0
12.0,23.0
50.0,155.0
18.0,35.0
388.0,831.0
344.0,741.0
1329.0,2261.0
