PHEV,BEV
677.0,1090.0
1359.0,3250.0
53.0,9.0
1391.0,4393.0
201.0,676.0
15.0,12.0
14.0,45.0
2092.0,4892.0
1244.0,2164.0
58.0,229.0
1019.0,2226.0
53.0,56.0
38.0,26.0
78.0,244.0
11.0,11.0
14.0,91.0
1674.0,3609.0
108.0,193.0
942.0,2104.0
13.0,6.0
185.0,212.0
55.0,13.0
53.0,54.0
23.0,18.0
18.0,26.0
51.0,217.0
152.0,110.0
13.0,14.0
37.0,66.0
15.0,26.0
101.0,92.0
61.0,52.0
591.0,1134.0
1240.0,842.0
33.0,33.0
509.0,386.0
794.0,52.0
146.0,75.0
267.0,148.0
208.0,97.0
98.0,71.0
155.0,90.0
272.0,303.0
120.0,22.0
123.0,68.0
1022.0,823.0
2632.0,1738.0
119.0,47.0
152.0,35.0
129.0,13.0
151.0,5.0
202.0,39.0
204.0,36.0
175.0,43.0
1703.0,1681.0
161.0,49.0
352.0,67.0
3042.0,2265.0
87.0,46.0
4635.0,5582.0
1603.0,2085.0
924.0,281.0
684.0,200.0
1877.0,1016.0
607.0,349.0
935.0,830.0
69.0,23.0
256.0,180.0
105.0,91.0
388.0,225.0
1834.0,2500.0
588.0,262.0
823.0,880.0
851.0,803.0
1006.0,671.0
565.0,324.0
52.0,6.0
177.0,22.0
152.0,89.0
9342.0,4744.0
158.0,222.0
99.0,32.0
768.0,441.0
1133.0,693.0
299.0,90.0
236.0,22.0
156.0,198.0
3427.0,4708.0
64.0,42.0
43.0,33.0
18.0,42.0
35.0,200.0
376.0,413.0
2257.0,4846.0
12.0,42.0
12.0,31.0
12.0,42.0
446.0,710.0
183.0,237.0
7.0,47.0
78.0,69.0
143.0,376.0
6.0,17.0
30.0,18.0
17.0,30.0
1855.0,4775.0
296.0,609.0
10.0,72.0
30.0,73.0
3047.0,7053.0
1381.0,4070.0
71.0,115.0
469.0,1281.0
156.0,296.0
35.0,12.0
3.0,5.0
962.0,2331.0
305.0,667.0
57.0,17.0
18.0,29.0
54.0,178.0
57.0,152.0
22.0,50.0
161.0,237.0
12.0,12.0
36.0,24.0
4442.0,10786.0
11.0,71.0
469.0,949.0
71.0,92.0
227.0,648.0
32.0,23.0
61.0,107.0
53.0,44.0
12.0,35.0
102.0,100.0
140.0,214.0
124.0,173.0
70.0,184.0
76.0,55.0
11.0,12.0
58.0,36.0
8.0,35.0
11.0,12.0
58.0,70.0
151.0,175.0
12.0,11.0
30.0,30.0
113.0,238.0
14.0,66.0
109.0,56.0
797.0,1609.0
11.0,23.0
53.0,23.0
173.0,368.0
26.0,41.0
125.0,191.0
39.0,42.0
107.0,142.0
255.0,315.0
23.0,36.0
183.0,210.0
18.0,18.0
1975.0,5046.0
137.0,65.0
18.0,39.0
47.0,60.0
3903.0,8473.0
30.0,18.0
18.0,12.0
44.0,86.0
31.0,60.0
48.0,29.0
61.0,24.0
57.0,126.0
47.0,134.0
1682.0,3053.0
26.0,40.0
39.0,62.0
11.0,30.0
17.0,12.0
8.0,13.0
14.0,17.0
352.0,460.0
94.0,300.0
194.0,303.0
1199.0,2554.0
4.0,5.0
134.0,215.0
43.0,89.0
2.0,5.0
80.0,101.0
85.0,93.0
122.0,142.0
286.0,562.0
161.0,293.0
8054.0,28631.0
738.0,1653.0
45.0,115.0
43.0,62.0
130.0,130.0
11.0,5.0
136.0,185.0
35.0,56.0
32.0,33.0
6.0,11.0
1767.0,3081.0
101.0,367.0
256.0,539.0
16.0,21.0
1803.0,5280.0
550.0,932.0
47.0,63.0
962.0,1616.0
6.0,9.0
69.0,109.0
557.0,1286.0
42.0,52.0
135.0,187.0
14.0,0.0
18.0,0.0
13.0,0.0
14.0,0.0
9.0,0.0
104.0,0.0
24.0,0.0
11.0,0.0
75.0,0.0
36.0,0.0
24.0,0.0
14.0,0.0
18.0,0.0
21.0,0.0
18.0,0.0
18.0,0.0
18.0,0.0
11.0,0.0
2.0,0.0
18.0,0.0
17.0,0.0
11.0,0.0
30.0,0.0
11.0,0.0
10.0,0.0
18.0,0.0
82.0,0.0
12.0,0.0
18.0,0.0
12.0,0.0
17.0,0.0
29.0,0.0
12.0,0.0
12.0,0.0
10.0,0.0
12.0,0.0
11.0,0.0
36.0,0.0
12.0,0.0
18.0,0.0
29.0,0.0
2.0,0.0
0.0,10.0
0.0,14.0
0.0,14.0
0.0,37.0
0.0,22.0
0.0,13.0
0.0,14.0
0.0,14.0
0.0,3.0
0.0,35.0
0.0,11.0
0.0,14.0
0.0,18.0
0.0,11.0
0.0,18.0
0.0,14.0
0.0,12.0
0.0,25.0
0.0,28.0
0.0,41.0
0.0,17.0
0.0,10.0
0.0,12.0
0.0,12.0
0.0,10.0
0.0,17.0
0.0,18.0
0.0,12.0
0.0,12.0
0.0,18.0
0.0,28.0
0.0,30.0
0.0,17.0
0.0,14.0
0.0,37.0
0.0,12.0
