countyname,fipscounty,neighborname,fipsneighbor,county,state,neighbor_county,neighbor_state,count,distance_(mi)
"Adams County, CO",8001,"Adams County, CO",8001,Adams County,CO,Adams County,CO,1,0.0
"Alamosa County, CO",8003,"Alamosa County, CO",8003,Alamosa County,CO,Alamosa County,CO,1,0.0
"Arapahoe County, CO",8005,"Arapahoe County, CO",8005,Arapahoe County,CO,Arapahoe County,CO,1,0.0
"Archuleta County, CO",8007,"Archuleta County, CO",8007,Archuleta County,CO,Archuleta County,CO,1,0.0
"Baca County, CO",8009,"Baca County, CO",8009,Baca County,CO,Baca County,CO,1,0.0
"Bent County, CO",8011,"Bent County, CO",8011,Bent County,CO,Bent County,CO,1,0.0
"Boulder County, CO",8013,"Boulder County, CO",8013,Boulder County,CO,Boulder County,CO,1,0.0
"Broomfield County, CO",8014,"Broomfield County, CO",8014,Broomfield County,CO,Broomfield County,CO,1,0.0
"Chaffee County, CO",8015,"Chaffee County, CO",8015,Chaffee County,CO,Chaffee County,CO,1,0.0
"Cheyenne County, CO",8017,"Cheyenne County, CO",8017,Cheyenne County,CO,Cheyenne County,CO,1,0.0
"Clear Creek County, CO",8019,"Clear Creek County, CO",8019,Clear Creek County,CO,Clear Creek County,CO,1,0.0
"Conejos County, CO",8021,"Conejos County, CO",8021,Conejos County,CO,Conejos County,CO,1,0.0
"Costilla County, CO",8023,"Costilla County, CO",8023,Costilla County,CO,Costilla County,CO,1,0.0
"Crowley County, CO",8025,"Crowley County, CO",8025,Crowley County,CO,Crowley County,CO,1,0.0
"Custer County, CO",8027,"Custer County, CO",8027,Custer County,CO,Custer County,CO,1,0.0
"Delta County, CO",8029,"Delta County, CO",8029,Delta County,CO,Delta County,CO,1,0.0
"Denver County, CO",8031,"Denver County, CO",8031,Denver County,CO,Denver County,CO,1,0.0
"Dolores County, CO",8033,"Dolores County, CO",8033,Dolores County,CO,Dolores County,CO,1,0.0
"Douglas County, CO",8035,"Douglas County, CO",8035,Douglas County,CO,Douglas County,CO,1,0.0
"Eagle County, CO",8037,"Eagle County, CO",8037,Eagle County,CO,Eagle County,CO,1,0.0
"Elbert County, CO",8039,"Elbert County, CO",8039,Elbert County,CO,Elbert County,CO,1,0.0
"El Paso County, CO",8041,"El Paso County, CO",8041,El Paso County,CO,El Paso County,CO,1,0.0
"Fremont County, CO",8043,"Fremont County, CO",8043,Fremont County,CO,Fremont County,CO,1,0.0
"Garfield County, CO",8045,"Garfield County, CO",8045,Garfield County,CO,Garfield County,CO,1,0.0
"Gilpin County, CO",8047,"Gilpin County, CO",8047,Gilpin County,CO,Gilpin County,CO,1,0.0
"Grand County, CO",8049,"Grand County, CO",8049,Grand County,CO,Grand County,CO,1,0.0
"Gunnison County, CO",8051,"Gunnison County, CO",8051,Gunnison County,CO,Gunnison County,CO,1,0.0
"Hinsdale County, CO",8053,"Hinsdale County, CO",8053,Hinsdale County,CO,Hinsdale County,CO,1,0.0
"Huerfano County, CO",8055,"Huerfano County, CO",8055,Huerfano County,CO,Huerfano County,CO,1,0.0
"Jackson County, CO",8057,"Jackson County, CO",8057,Jackson County,CO,Jackson County,CO,1,0.0
"Jefferson County, CO",8059,"Jefferson County, CO",8059,Jefferson County,CO,Jefferson County,CO,1,0.0
"Kiowa County, CO",8061,"Kiowa County, CO",8061,Kiowa County,CO,Kiowa County,CO,1,0.0
"Kit Carson County, CO",8063,"Kit Carson County, CO",8063,Kit Carson County,CO,Kit Carson County,CO,1,0.0
"Lake County, CO",8065,"Lake County, CO",8065,Lake County,CO,Lake County,CO,1,0.0
