,State,Zip,Year,Month,Electricity Price,Gas Price
0,TX,75001,2019.0,Jan,0.141,1.892
1,TX,75001,2019.0,Feb,0.141,2.031
2,TX,75001,2019.0,Mar,0.142,2.332
3,TX,75001,2019.0,Apr,0.142,2.602
4,TX,75001,2019.0,May,0.142,2.604
5,TX,75001,2019.0,Jun,0.142,2.399
6,TX,75001,2019.0,Jul,0.142,2.549
7,TX,75001,2019.0,Aug,0.142,2.335
8,TX,75001,2019.0,Sep,0.143,2.348
9,TX,75001,2019.0,Oct,0.143,2.249
10,TX,75001,2019.0,Nov,0.142,2.286
11,TX,75001,2019.0,Dec,0.142,2.214
12,TX,75001,2020.0,Jan,0.141,2.235
13,TX,75001,2020.0,Feb,0.137,2.054
14,TX,75001,2020.0,Mar,0.134,1.919
15,TX,75001,2020.0,Apr,0.134,1.417
16,TX,75001,2020.0,May,0.136,1.406
17,TX,75001,2020.0,Jun,0.136,1.722
18,TX,75001,2020.0,Jul,0.135,1.903
19,TX,75001,2020.0,Aug,0.133,1.869
20,TX,75001,2020.0,Sep,0.132,1.893
21,TX,75001,2020.0,Oct,0.132,1.833
22,TX,75001,2020.0,Nov,0.13,1.766
23,TX,75001,2020.0,Dec,0.13,1.885
24,TX,75001,2021.0,Jan,0.131,2.065
25,TX,75001,2021.0,Feb,0.131,2.196
26,TX,75001,2021.0,Mar,0.128,2.533
27,TX,75001,2021.0,Apr,0.127,2.485
28,TX,75001,2021.0,May,0.128,2.737
29,TX,75001,2021.0,Jun,0.129,2.836
30,TX,75001,2021.0,Jul,0.133,2.882
31,TX,75001,2021.0,Aug,0.144,2.894
32,TX,75001,2021.0,Sep,0.152,2.91
33,TX,75001,2021.0,Oct,0.153,3.033
34,TX,75001,2021.0,Nov,0.153,3.137
35,TX,75001,2021.0,Dec,0.154,3.015
36,TX,75001,2022.0,Jan,0.161,3.058
37,TX,75001,2022.0,Feb,0.162,3.288
38,TX,75001,2022.0,Mar,0.162,3.901
39,TX,75001,2022.0,Apr,0.162,3.816
40,TX,75001,2022.0,May,0.164,4.271
41,TX,75001,2022.0,Jun,0.174,4.748
42,TX,75001,2022.0,Jul,0.196,4.119
43,TX,75001,2022.0,Aug,0.196,3.511
44,TX,75001,2022.0,Sep,0.199,3.231
45,TX,75001,2022.0,Oct,0.199,3.268
46,TX,75001,2022.0,Nov,0.183,3.084
47,TX,75001,2022.0,Dec,0.183,2.782
48,TX,75001,2023.0,Jan,0.178,3.025
49,TX,75001,2023.0,Feb,0.178,3.055
50,TX,75002,2019.0,Jan,0.141,1.892
51,TX,75002,2019.0,Feb,0.141,2.031
52,TX,75002,2019.0,Mar,0.142,2.332
53,TX,75002,2019.0,Apr,0.142,2.602
54,TX,75002,2019.0,May,0.142,2.604
55,TX,75002,2019.0,Jun,0.142,2.399
56,TX,75002,2019.0,Jul,0.142,2.549
